origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-22,ARI incidence,2024-12-29,1,BE,median,,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.01,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.025,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.05,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.1,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.15,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.2,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.25,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.3,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.35,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.4,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.45,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.5,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.55,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.6,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.65,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.7,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.75,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.8,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.85,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.9,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.95,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.975,955.3773478449244
2024-12-22,ARI incidence,2024-12-29,1,BE,quantile,0.99,955.3773478449244
2024-12-22,ARI incidence,2025-01-05,2,BE,median,,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.01,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.025,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.05,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.1,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.15,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.2,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.25,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.3,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.35,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.4,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.45,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.5,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.55,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.6,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.65,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.7,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.75,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.8,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.85,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.9,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.95,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.975,957.4631365317256
2024-12-22,ARI incidence,2025-01-05,2,BE,quantile,0.99,957.4631365317256
2024-12-22,ARI incidence,2025-01-12,3,BE,median,,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.01,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.025,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.05,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.1,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.15,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.2,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.25,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.3,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.35,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.4,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.45,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.5,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.55,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.6,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.65,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.7,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.75,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.8,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.85,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.9,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.95,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.975,955.7385736213586
2024-12-22,ARI incidence,2025-01-12,3,BE,quantile,0.99,955.7385736213586
2024-12-22,ARI incidence,2025-01-19,4,BE,median,,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.01,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.025,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.05,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.1,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.15,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.2,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.25,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.3,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.35,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.4,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.45,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.5,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.55,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.6,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.65,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.7,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.75,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.8,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.85,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.9,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.95,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.975,957.1644693751489
2024-12-22,ARI incidence,2025-01-19,4,BE,quantile,0.99,957.1644693751489
