origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-02,ARI incidence,2025-03-09,1,BE,median,,1018.5245832604711
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.01,584.0817918309895
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.025,603.8858996624061
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.05,694.8373333596238
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.1,755.9190312703553
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.15,797.1726239337613
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.2,845.5210424583107
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.25,880.3430055236438
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.3,913.067297191237
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.35,938.1144299147709
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.4,965.8612265675162
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.45,992.6145613798107
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.5,1018.5245832604711
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.55,1034.4755795025922
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.6,1056.192816483398
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.65,1077.6303143570933
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.7,1106.2087788559331
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.75,1138.2153142928128
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.8,1177.1023979901217
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.85,1208.3508204582884
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.9,1249.6341783950759
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.95,1318.2298824032675
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.975,1381.254397664329
2025-03-02,ARI incidence,2025-03-09,1,BE,quantile,0.99,1449.676296849206
2025-03-02,ARI incidence,2025-03-16,2,BE,median,,1044.0666447238564
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.01,501.03843275517187
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.025,554.2166398923258
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.05,638.3249619702561
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.1,708.4386565179145
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.15,799.1111555889578
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.2,847.4458162803935
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.25,893.0242160101716
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.3,920.896229826717
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.35,950.0062113342636
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.4,996.6155195208377
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.45,1017.8326081966486
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.5,1044.0666447238564
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.55,1082.8083026282427
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.6,1103.7155107675303
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.65,1123.995095230205
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.7,1154.6948914613965
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.75,1204.075627146064
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.8,1230.5715682118446
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.85,1286.9603552743447
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.9,1333.683711047288
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.95,1407.5016620302295
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.975,1469.5477027286083
2025-03-02,ARI incidence,2025-03-16,2,BE,quantile,0.99,1529.4862506099412
2025-03-02,ARI incidence,2025-03-23,3,BE,median,,997.142037895765
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.01,418.7968724342121
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.025,488.4156055293513
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.05,572.5589107834843
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.1,668.5507695314018
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.15,727.8155040948067
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.2,801.0661874788758
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.25,838.7815448377166
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.3,883.0091064713581
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.35,916.0550232033199
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.4,947.8777008708238
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.45,973.6415995776944
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.5,997.142037895765
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.55,1037.1582315572837
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.6,1063.9894910056084
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.65,1089.485579533317
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.7,1122.2565063207544
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.75,1164.6963842224673
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.8,1204.0359460827738
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.85,1264.3163227637376
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.9,1332.133871755134
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.95,1419.8339527510066
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.975,1486.876410787046
2025-03-02,ARI incidence,2025-03-23,3,BE,quantile,0.99,1572.1600872832255
2025-03-02,ARI incidence,2025-03-30,4,BE,median,,1052.6644616439175
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.01,431.0804802073119
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.025,494.80889621280056
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.05,609.1060687452448
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.1,705.1065044115
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.15,767.28814093006
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.2,815.605841923535
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.25,865.603072509235
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.3,908.4086824295257
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.35,939.0060296104288
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.4,982.1630399458747
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.45,1025.400761038289
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.5,1052.6644616439175
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.55,1083.317534808894
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.6,1116.4089187061443
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.65,1147.2159029610016
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.7,1184.0174063537581
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.75,1232.3785031098587
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.8,1283.3889618203887
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.85,1344.9096975585705
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.9,1384.4578155755657
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.95,1470.9269694480572
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.975,1565.450949058923
2025-03-02,ARI incidence,2025-03-30,4,BE,quantile,0.99,1639.8421915843185
