origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-23,ILI incidence,2025-03-30,1,BE,median,,146.1528990609188
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.01,-106.51697255118239
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.025,-80.61309885454327
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.05,-46.05178175215811
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.1,7.338591087840043
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.15,23.061595853080345
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.2,46.74223341381182
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.25,67.04905274275812
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.3,84.72141389064099
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.35,99.32833723212575
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.4,113.85774200502797
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.45,129.90622693220263
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.5,146.1528990609188
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.55,158.4584538885899
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.6,166.10611186965122
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.65,180.370005570263
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.7,197.60217150674782
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.75,218.77132391011764
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.8,234.41412623375362
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.85,257.8215289234876
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.9,283.5290533698714
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.95,339.0881347014074
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.975,361.320882231061
2025-03-23,ILI incidence,2025-03-30,1,BE,quantile,0.99,400.4756404299912
2025-03-23,ILI incidence,2025-04-06,2,BE,median,,90.65246393726093
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.01,-259.1812324584665
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.025,-228.1320379454549
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.05,-181.53195105455697
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.1,-109.63198926594947
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.15,-73.69707620589705
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.2,-52.94493418624565
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.25,-27.837459583162342
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.3,-5.090299690801734
2025-03-23,ILI incidence,2025-04-06,2,BE,quantile,0.35,16.50643208351527
