origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-19,ARI incidence,2025-01-26,1,CZ,median,,1549.3888830105375
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.01,1264.616805669447
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.025,1311.5445587288639
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.05,1343.122850748168
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.1,1390.73646718612
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.15,1418.1519151773648
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.2,1440.2703521872272
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.25,1459.340247376524
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.3,1476.4624178085026
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.35,1500.6567753718637
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.4,1514.8004907892896
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.45,1529.7310241243456
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.5,1549.3888830105375
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.55,1563.218692039829
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.6,1574.5528692803668
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.65,1600.6990232634596
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.7,1619.242120582407
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.75,1636.808130865631
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.8,1655.0804672969625
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.85,1680.2206854449428
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.9,1709.78288914762
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.95,1759.4680405772415
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.975,1800.199743461666
2025-01-19,ARI incidence,2025-01-26,1,CZ,quantile,0.99,1841.9309062158006
