origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-11-23,ILI incidence,2025-11-30,1,CZ,median,,11.18154883283202
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.01,-12.872846746421562
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.025,-10.425454428110864
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.05,-7.486727410448366
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.1,-3.7987859896273726
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.15,-0.46418305589631875
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.2,1.6416077352297351
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.25,3.6280062989614286
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.3,5.133705612861427
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.35,6.986019049864046
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.4,8.405408077938516
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.45,9.620371190033268
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.5,11.18154883283202
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.55,12.659728600118907
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.6,14.165086470971014
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.65,15.485279055112247
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.7,16.77878240590857
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.75,18.597583739938333
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.8,20.535758855041284
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.85,22.639396521954286
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.9,24.68643891891414
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.95,28.19196522375577
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.975,30.912047809789023
2025-11-23,ILI incidence,2025-11-30,1,CZ,quantile,0.99,35.97663382495874
2025-11-23,ILI incidence,2025-12-07,2,CZ,median,,13.36305453754331
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.01,-25.078420177558602
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.025,-20.073126664324686
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.05,-13.707800246316056
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.1,-7.2698553193964806
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.15,-3.3286999788365783
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.2,-0.12107327003600277
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.25,2.718553758309933
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.3,5.043695373312525
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.35,7.1744016878827575
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.4,8.883348245146587
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.45,11.348576603352985
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.5,13.36305453754331
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.55,15.595059013888136
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.6,17.717060605751456
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.65,21.426058737700373
2025-11-23,ILI incidence,2025-12-07,2,CZ,quantile,0.7,23.00145460144617
