origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-02,ARI incidence,2025-02-09,1,FR,median,,558.6102402603751
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.01,476.7597679535971
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.025,490.6462550705056
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.05,498.57661332327973
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.1,514.8731668516072
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.15,522.1741917598799
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.2,530.7701195085976
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.25,535.3852732942439
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.3,541.2214002355561
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.35,546.70080019734
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.4,551.1367834667009
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.45,554.5309752248772
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.5,558.6102402603751
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.55,563.9069421910974
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.6,569.7077311932327
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.65,574.6499522036884
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.7,579.1863799978635
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.75,584.9848215612546
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.8,591.94244872692
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.85,599.1278820808155
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.9,608.9833892206926
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.95,619.5569849282805
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.975,631.0089041880362
2025-02-02,ARI incidence,2025-02-09,1,FR,quantile,0.99,637.2075128257226
2025-02-02,ARI incidence,2025-02-16,2,FR,median,,449.1322779396421
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.01,294.7469234256605
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.025,315.6569883731722
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.05,340.32809877892066
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.1,355.1399759632447
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.15,379.2802941104851
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.2,393.8700851718579
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.25,403.5221007689536
2025-02-02,ARI incidence,2025-02-16,2,FR,quantile,0.3,413.95829823465283
