origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-19,ILI incidence,2025-01-26,1,FR,median,,385.49394341552113
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.01,333.58275436130145
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.025,341.4816683172805
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.05,348.62169520381275
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.1,355.79237804812846
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.15,360.3318121103622
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.2,364.87008045898
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.25,367.7520398852168
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.3,371.77756416983885
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.35,375.15200560823484
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.4,378.2574002925465
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.45,382.2072649270727
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.5,385.49394341552113
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.55,388.51351291517295
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.6,391.17243627528313
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.65,393.8456557471909
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.7,397.03107986464113
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.75,400.78729361203506
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.8,404.2717648438351
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.85,407.61113286976837
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.9,412.50648326280975
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.95,420.07299104405115
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.975,428.11360704310516
2025-01-19,ILI incidence,2025-01-26,1,FR,quantile,0.99,433.2110467419924
2025-01-19,ILI incidence,2025-02-02,2,FR,median,,351.08156343155105
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.01,253.49370802381492
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.025,269.10918824484656
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.05,280.66213157293004
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.1,297.94511504442636
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.15,305.05580068937945
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.2,313.69930918322467
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.25,322.5388373346868
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.3,327.5679907943079
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.35,334.0453868137705
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.4,340.57025369806445
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.45,344.55553397890446
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.5,351.08156343155105
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.55,356.68092489701496
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.6,364.29419031158204
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.65,372.49427826583695
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.7,378.93846227953406
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.75,385.1498298788004
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.8,392.9043200018584
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.85,402.1154382227665
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.9,408.82562531944143
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.95,427.77383088347375
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.975,443.5901111161323
2025-01-19,ILI incidence,2025-02-02,2,FR,quantile,0.99,449.40711242866564
2025-01-19,ILI incidence,2025-02-09,3,FR,median,,280.71674054628227
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.01,152.93240688422247
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.025,169.9648695159623
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.05,190.052813555053
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.1,209.06038024331033
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.15,222.29800301552484
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.2,233.36531685622762
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.25,243.33712708138103
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.3,252.47220271585488
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.35,261.52318984954366
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.4,267.93114006160704
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.45,275.03825395472626
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.5,280.71674054628227
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.55,287.83257829301164
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.6,299.28463051487427
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.65,308.333833814933
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.7,315.31573187626583
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.75,321.2739815357696
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.8,334.12568981323096
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.85,342.25117975040814
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.9,353.084430141282
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.95,381.4115968305484
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.975,399.4336060104619
2025-01-19,ILI incidence,2025-02-09,3,FR,quantile,0.99,421.09439710999953
2025-01-19,ILI incidence,2025-02-16,4,FR,median,,204.30116642920257
2025-01-19,ILI incidence,2025-02-16,4,FR,quantile,0.01,46.173964971448555
2025-01-19,ILI incidence,2025-02-16,4,FR,quantile,0.025,69.96586740449351
2025-01-19,ILI incidence,2025-02-16,4,FR,quantile,0.05,93.2527001719258
2025-01-19,ILI incidence,2025-02-16,4,FR,quantile,0.1,121.41859702264686
2025-01-19,ILI incidence,2025-02-16,4,FR,quantile,0.15,137.5041805442398
2025-01-19,ILI incidence,2025-02-16,4,FR,quantile,0.2,146.6451436152668
2025-01-19,ILI incidence,2025-02-16,4,FR,quantile,0.25,160.3782380225183
