origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-11-02,ARI incidence,2025-11-09,1,IT,median,,752.2797226165158
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.01,750.4479222982557
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.025,750.708481004661
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.05,750.86868888774
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.1,751.1812451657161
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.15,751.3969414741591
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.2,751.5485973167933
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.25,751.6774119230636
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.3,751.8511603856437
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.35,751.9546690297486
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.4,752.08452376902
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.45,752.1731659524155
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.5,752.2797226165158
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.55,752.3911434851586
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.6,752.5112205522915
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.65,752.5991561304479
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.7,752.7075897493283
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.75,752.8108016627509
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.8,752.9502811647923
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.85,753.122716695145
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.9,753.3056549627051
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.95,753.5460158476717
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.975,753.8662184074575
2025-11-02,ARI incidence,2025-11-09,1,IT,quantile,0.99,754.0256203269055
2025-11-02,ARI incidence,2025-11-16,2,IT,median,,752.8473332278415
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.01,747.8897046361454
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.025,748.609155989714
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.05,749.159401646158
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.1,749.6508743678161
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.15,750.4944345874412
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.2,751.028250792557
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.25,751.4050161056126
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.3,751.7477354017522
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.35,752.0958012950359
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.4,752.345735450818
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.45,752.6011468733639
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.5,752.8473332278415
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.55,753.0627814382377
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.6,753.3320208977082
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.65,753.6361866500489
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.7,753.91479250895
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.75,754.292483124417
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.8,754.5864583556677
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.85,754.9084811567426
2025-11-02,ARI incidence,2025-11-16,2,IT,quantile,0.9,755.3405885900781
