origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-02,ILI incidence,2025-02-09,1,IT,median,,1497.5812984042611
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.01,1370.6643045954058
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.025,1392.2018483789186
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.05,1404.6955275839505
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.1,1426.4518902383168
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.15,1440.7027243350394
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.2,1451.7027300764448
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.25,1459.85423158422
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.3,1467.2164849492005
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.35,1474.4870904050463
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.4,1485.4561328100153
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.45,1492.04522080647
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.5,1497.5812984042611
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.55,1505.6062127000423
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.6,1514.085676630486
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.65,1520.0072248822632
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.7,1527.8203978317274
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.75,1537.9209926726494
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.8,1549.2106797251818
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.85,1557.9917533837697
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.9,1573.5166809696234
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.95,1601.2680022981845
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.975,1617.5200328871504
2025-02-02,ILI incidence,2025-02-09,1,IT,quantile,0.99,1623.8842609387777
2025-02-02,ILI incidence,2025-02-16,2,IT,median,,1242.830250507552
2025-02-02,ILI incidence,2025-02-16,2,IT,quantile,0.01,956.7272978548053
2025-02-02,ILI incidence,2025-02-16,2,IT,quantile,0.025,998.130347157105
2025-02-02,ILI incidence,2025-02-16,2,IT,quantile,0.05,1038.0869618191564
