origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-07-13,ILI incidence,2025-07-20,1,PL,median,,129.70930123797777
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.01,-42.44295716366569
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.025,-12.966502164556577
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.05,20.476156521923777
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.1,42.360863449088036
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.15,59.12451188300804
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.2,70.5117405378882
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.25,80.00018839234583
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.3,93.64897336376912
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.35,104.48777095628613
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.4,112.37701768619121
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.45,121.22780591603819
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.5,129.70930123797777
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.55,140.04350755968196
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.6,152.12862783933016
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.65,163.19811154953916
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.7,171.00799982392445
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.75,178.32149821807064
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.8,190.95257784106542
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.85,204.82502883707525
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.9,221.2323946265517
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.95,243.95626149926352
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.975,268.248013728365
2025-07-13,ILI incidence,2025-07-20,1,PL,quantile,0.99,285.173925964519
2025-07-13,ILI incidence,2025-07-27,2,PL,median,,102.44913359284402
2025-07-13,ILI incidence,2025-07-27,2,PL,quantile,0.01,-122.3635796692356
2025-07-13,ILI incidence,2025-07-27,2,PL,quantile,0.025,-96.42709122417473
2025-07-13,ILI incidence,2025-07-27,2,PL,quantile,0.05,-67.51121810289037
2025-07-13,ILI incidence,2025-07-27,2,PL,quantile,0.1,-27.23504071442578
2025-07-13,ILI incidence,2025-07-27,2,PL,quantile,0.15,4.165327397709111
2025-07-13,ILI incidence,2025-07-27,2,PL,quantile,0.2,23.84663663836984
2025-07-13,ILI incidence,2025-07-27,2,PL,quantile,0.25,33.83710111155335
