origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-20,ARI incidence,2025-04-27,1,ES,median,,276.1013052388454
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.01,46.75719956239243
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.025,65.92104006050606
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.05,104.11807659751531
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.1,143.98705203540183
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.15,168.73255922876
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.2,187.53573260998198
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.25,207.20467022053523
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.3,222.43028635644717
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.35,235.48381460970162
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.4,248.33861285039845
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.45,260.9408746291343
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.5,276.1013052388454
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.55,289.77677635982775
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.6,307.03179860754085
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.65,319.768946372772
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.7,333.54991784575736
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.75,346.0374367831073
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.8,363.8907882629059
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.85,387.6522276135887
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.9,406.6513567059504
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.95,437.2366911076272
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.975,466.52079981242247
2025-04-20,ARI incidence,2025-04-27,1,ES,quantile,0.99,507.6912448155734
2025-04-20,ARI incidence,2025-05-04,2,ES,median,,191.97649339284078
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.01,-221.28071768046172
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.025,-188.32105485034975
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.05,-102.93626408584757
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.1,-30.103690451572348
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.15,6.6226800327443485
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.2,38.12951016075225
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.25,83.06790077623309
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.3,104.67115019186949
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.35,128.2729061166399
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.4,152.0236123841868
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.45,173.91990673344404
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.5,191.97649339284078
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.55,212.0973682307
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.6,235.68352076367756
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.65,255.20611585683608
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.7,280.14030034000467
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.75,307.6460098319697
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.8,344.13516788747216
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.85,382.9971990639602
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.9,438.60158964588845
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.95,514.5753411282058
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.975,596.2342353129965
2025-04-20,ARI incidence,2025-05-04,2,ES,quantile,0.99,620.5937032821803
2025-04-20,ARI incidence,2025-05-11,3,ES,median,,198.08888005776487
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.01,-428.69620036013055
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.025,-319.14012040449103
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.05,-267.60092902240655
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.1,-134.4767616876773
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.15,-82.16588998066224
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.2,-31.083993377084106
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.25,19.581473600201782
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.3,61.142056200299336
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.35,112.23984889264592
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.4,139.74505552805022
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.45,175.3203475863332
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.5,198.08888005776487
2025-04-20,ARI incidence,2025-05-11,3,ES,quantile,0.55,226.41541718352332
