origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-07-27,ILI incidence,2025-08-03,1,ES,median,,6.939783394164884
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.01,-5.922879461011252
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.025,-4.237818199522291
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.05,-2.1537668989250083
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.1,0.03541116669724088
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.15,1.186420835918131
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.2,2.6350011716048805
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.25,3.4324872726916045
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.3,4.1455551014150185
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.35,4.81753074985588
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.4,5.627521958617894
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.45,6.241244085355111
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.5,6.939783394164884
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.55,7.6270065188531495
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.6,8.398520950701814
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.65,9.012472220528416
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.7,9.727787223734017
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.75,10.492706288349956
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.8,11.255919978076427
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.85,12.324861753891069
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.9,13.687578844187094
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.95,15.918913522689603
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.975,17.343480409488535
2025-07-27,ILI incidence,2025-08-03,1,ES,quantile,0.99,19.026462319715794
2025-07-27,ILI incidence,2025-08-10,2,ES,median,,7.001085691363636
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.01,-15.823272969364853
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.025,-13.085038399450488
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.05,-9.396576455031045
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.1,-6.169559464474951
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.15,-3.9953634495496244
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.2,-2.23902572288997
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.25,-0.37592817529791916
2025-07-27,ILI incidence,2025-08-10,2,ES,quantile,0.3,0.9671610789971378
