origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-07-06,ARI incidence,2025-07-13,1,BE,median,,399.74896240234375
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.01,282.5028381347656
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.025,283.76483154296875
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.05,292.2773742675781
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.1,337.39141845703125
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.15,344.35443115234375
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.2,356.642333984375
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.25,363.2950439453125
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.3,377.4741516113281
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.35,383.1600341796875
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.4,388.8913879394531
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.45,391.8683166503906
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.5,399.74896240234375
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.55,408.3585510253906
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.6,410.8092956542969
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.65,414.1080627441406
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.7,426.642578125
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.75,440.6971740722656
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.8,444.31732177734375
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.85,467.32635498046875
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.9,493.4289855957031
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.95,520.745849609375
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.975,563.4658813476562
2025-07-06,ARI incidence,2025-07-13,1,BE,quantile,0.99,649.32373046875
2025-07-06,ARI incidence,2025-07-20,2,BE,median,,430.94219970703125
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.01,259.1035461425781
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.025,278.64068603515625
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.05,318.62371826171875
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.1,334.1940612792969
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.15,361.7005615234375
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.2,371.2511291503906
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.25,375.21832275390625
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.3,383.3186950683594
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.35,396.6715393066406
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.4,405.528076171875
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.45,413.3824157714844
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.5,430.94219970703125
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.55,438.1349792480469
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.6,441.0309753417969
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.65,452.1680908203125
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.7,459.47076416015625
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.75,476.54608154296875
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.8,491.6949462890625
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.85,521.5364990234375
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.9,554.6102294921875
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.95,586.6109008789062
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.975,653.9296264648438
2025-07-06,ARI incidence,2025-07-20,2,BE,quantile,0.99,691.0736694335938
2025-07-06,ARI incidence,2025-07-27,3,BE,median,,437.08880615234375
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.01,137.49058532714844
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.025,308.8782653808594
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.05,316.6779479980469
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.1,338.5700378417969
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.15,353.8320007324219
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.2,375.03173828125
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.25,388.6392517089844
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.3,397.9669189453125
2025-07-06,ARI incidence,2025-07-27,3,BE,quantile,0.35,411.0056457519531
