origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-08-31,ILI incidence,2025-09-07,1,BE,median,,37.993560791015625
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.01,-6.854617118835449
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.025,-3.972501039505005
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.05,4.572268962860107
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.1,13.911796569824219
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.15,22.090837478637695
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.2,23.14387321472168
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.25,23.304113388061523
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.3,32.054595947265625
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.35,33.3537483215332
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.4,34.47757339477539
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.45,37.01298141479492
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.5,37.993560791015625
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.55,38.546470642089844
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.6,41.99605941772461
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.65,44.576595306396484
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.7,46.232337951660156
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.75,46.89019775390625
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.8,47.46299743652344
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.85,54.606651306152344
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.9,57.90612030029297
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.95,83.2046127319336
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.975,91.88565063476562
2025-08-31,ILI incidence,2025-09-07,1,BE,quantile,0.99,140.85549926757812
2025-08-31,ILI incidence,2025-09-14,2,BE,median,,41.95606231689453
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.01,-11.167595863342285
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.025,-7.2496185302734375
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.05,6.683114051818848
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.1,13.05484676361084
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.15,20.134334564208984
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.2,20.88766098022461
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.25,26.50836181640625
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.3,30.478355407714844
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.35,32.848487854003906
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.4,35.30995178222656
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.45,37.65993881225586
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.5,41.95606231689453
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.55,48.5421142578125
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.6,51.68975067138672
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.65,55.03752136230469
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.7,56.67105484008789
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.75,58.796531677246094
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.8,61.9692497253418
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.85,66.68064880371094
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.9,75.0104751586914
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.95,91.97064208984375
2025-08-31,ILI incidence,2025-09-14,2,BE,quantile,0.975,124.70215606689453
