origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-02,ARI incidence,2025-02-09,1,CZ,median,,1251.949951171875
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.01,760.3895263671875
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.025,855.9000854492188
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.05,976.535400390625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.1,1131.744140625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.15,1149.7515869140625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.2,1172.5162353515625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.25,1184.88916015625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.3,1190.0914306640625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.35,1213.6251220703125
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.4,1236.8236083984375
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.45,1246.182861328125
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.5,1251.949951171875
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.55,1265.228271484375
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.6,1311.0543212890625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.65,1358.3760986328125
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.7,1367.7926025390625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.75,1443.3321533203125
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.8,1478.1552734375
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.85,1495.105224609375
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.9,1561.6353759765625
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.95,1627.616943359375
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.975,1704.8255615234375
2025-02-02,ARI incidence,2025-02-09,1,CZ,quantile,0.99,1764.1558837890625
2025-02-02,ARI incidence,2025-02-16,2,CZ,median,,1014.3587646484375
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.01,617.4085083007812
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.025,662.6824340820312
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.05,675.4983520507812
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.1,739.6461181640625
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.15,787.2857666015625
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.2,847.374755859375
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.25,892.5656127929688
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.3,919.51171875
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.35,973.7247924804688
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.4,1000.0899658203125
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.45,1003.9718017578125
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.5,1014.3587646484375
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.55,1061.230224609375
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.6,1083.033447265625
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.65,1097.23583984375
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.7,1122.9244384765625
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.75,1166.906005859375
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.8,1206.541748046875
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.85,1218.3162841796875
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.9,1236.56689453125
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.95,1412.5050048828125
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.975,1424.959228515625
2025-02-02,ARI incidence,2025-02-16,2,CZ,quantile,0.99,1428.3782958984375
2025-02-02,ARI incidence,2025-02-23,3,CZ,median,,729.8265380859375
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.01,399.3988037109375
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.025,419.90228271484375
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.05,428.08514404296875
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.1,455.2666931152344
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.15,516.6369018554688
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.2,535.8873291015625
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.25,543.2828369140625
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.3,608.3727416992188
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.35,638.030029296875
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.4,647.1763916015625
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.45,699.6072998046875
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.5,729.8265380859375
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.55,750.77685546875
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.6,772.9808959960938
2025-02-02,ARI incidence,2025-02-23,3,CZ,quantile,0.65,834.9207153320312
