origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-11-23,ARI incidence,2025-11-30,1,FR,median,,212.79446411132812
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.01,104.35391998291016
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.025,110.26094055175781
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.05,134.1975555419922
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.1,154.21226501464844
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.15,159.24716186523438
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.2,168.68760681152344
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.25,179.7761688232422
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.3,184.2656707763672
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.35,188.5877685546875
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.4,201.7095489501953
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.45,203.72779846191406
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.5,212.79446411132812
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.55,220.57223510742188
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.6,226.73782348632812
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.65,231.89256286621094
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.7,239.08248901367188
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.75,245.0146484375
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.8,255.130859375
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.85,269.081787109375
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.9,279.63360595703125
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.95,293.9381103515625
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.975,322.6987609863281
2025-11-23,ARI incidence,2025-11-30,1,FR,quantile,0.99,358.902587890625
2025-11-23,ARI incidence,2025-12-07,2,FR,median,,261.87420654296875
