origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-01,ARI incidence,2025-06-08,1,IT,median,,714.8970947265625
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.01,714.87060546875
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.025,714.8810424804688
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.05,714.8917236328125
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.1,714.892333984375
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.15,714.892822265625
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.2,714.8937377929688
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.25,714.8944091796875
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.3,714.8953247070312
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.35,714.8955688476562
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.4,714.8960571289062
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.45,714.8966064453125
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.5,714.8970947265625
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.55,714.8980102539062
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.6,714.8992919921875
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.65,714.9000244140625
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.7,714.901123046875
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.75,714.9019165039062
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.8,714.9029541015625
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.85,714.9039916992188
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.9,714.9041748046875
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.95,714.9110107421875
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.975,714.9116821289062
2025-06-01,ARI incidence,2025-06-08,1,IT,quantile,0.99,714.9132690429688
2025-06-01,ARI incidence,2025-06-15,2,IT,median,,714.8990478515625
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.01,714.8836669921875
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.025,714.888671875
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.05,714.8901977539062
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.1,714.8952026367188
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.15,714.896728515625
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.2,714.8971557617188
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.25,714.8974609375
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.3,714.8977661132812
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.35,714.8980102539062
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.4,714.8983764648438
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.45,714.8986206054688
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.5,714.8990478515625
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.55,714.900390625
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.6,714.90380859375
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.65,714.9050903320312
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.7,714.90576171875
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.75,714.906005859375
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.8,714.906494140625
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.85,714.9067993164062
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.9,714.9071044921875
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.95,714.9097290039062
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.975,714.9107055664062
2025-06-01,ARI incidence,2025-06-15,2,IT,quantile,0.99,714.9183959960938
2025-06-01,ARI incidence,2025-06-22,3,IT,median,,714.900146484375
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.01,714.869873046875
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.025,714.8741455078125
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.05,714.8782348632812
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.1,714.8933715820312
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.15,714.8969116210938
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.2,714.8983154296875
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.25,714.8984985351562
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.3,714.8986206054688
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.35,714.8989868164062
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.4,714.8993530273438
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.45,714.8997802734375
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.5,714.900146484375
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.55,714.9005126953125
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.6,714.9010009765625
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.65,714.9016723632812
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.7,714.9022827148438
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.75,714.9026489257812
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.8,714.90283203125
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.85,714.9033203125
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.9,714.9055786132812
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.95,714.910888671875
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.975,714.9140014648438
2025-06-01,ARI incidence,2025-06-22,3,IT,quantile,0.99,714.9240112304688
2025-06-01,ARI incidence,2025-06-29,4,IT,median,,714.900390625
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.01,714.8846435546875
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.025,714.8858642578125
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.05,714.8883666992188
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.1,714.8976440429688
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.15,714.8981323242188
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.2,714.8984985351562
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.25,714.8986206054688
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.3,714.8991088867188
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.35,714.8992309570312
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.4,714.8995361328125
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.45,714.8999633789062
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.5,714.900390625
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.55,714.90087890625
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.6,714.9014282226562
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.65,714.9015502929688
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.7,714.9019165039062
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.75,714.90283203125
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.8,714.9031372070312
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.85,714.9033813476562
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.9,714.9049682617188
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.95,714.9132690429688
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.975,714.9161376953125
2025-06-01,ARI incidence,2025-06-29,4,IT,quantile,0.99,714.9332275390625
