origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-29,ILI incidence,2025-07-06,1,IT,median,,351.9874267578125
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.01,288.3121337890625
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.025,299.316162109375
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.05,315.54888916015625
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.1,331.2630920410156
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.15,339.0138244628906
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.2,339.2256774902344
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.25,341.58819580078125
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.3,343.0543212890625
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.35,345.9446716308594
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.4,346.1256408691406
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.45,349.2940673828125
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.5,351.9874267578125
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.55,353.7209167480469
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.6,362.6453552246094
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.65,373.7496032714844
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.7,377.0267028808594
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.75,379.5483703613281
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.8,394.861328125
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.85,395.2997131347656
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.9,413.84185791015625
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.95,420.5326843261719
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.975,440.925537109375
2025-06-29,ILI incidence,2025-07-06,1,IT,quantile,0.99,491.2008361816406
2025-06-29,ILI incidence,2025-07-13,2,IT,median,,366.4898376464844
2025-06-29,ILI incidence,2025-07-13,2,IT,quantile,0.01,300.7282409667969
2025-06-29,ILI incidence,2025-07-13,2,IT,quantile,0.025,311.40423583984375
