origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-20,ILI incidence,2025-04-27,1,PL,median,,233.67617797851562
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.01,166.65283203125
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.025,175.29896545410156
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.05,183.28578186035156
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.1,188.2503204345703
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.15,201.77394104003906
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.2,212.65834045410156
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.25,213.59793090820312
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.3,225.25595092773438
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.35,225.86302185058594
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.4,231.25575256347656
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.45,232.7013397216797
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.5,233.67617797851562
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.55,239.73301696777344
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.6,243.29197692871094
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.65,248.5307159423828
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.7,251.31503295898438
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.75,252.55511474609375
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.8,263.1073913574219
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.85,274.19329833984375
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.9,291.5809631347656
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.95,324.79840087890625
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.975,330.19183349609375
2025-04-20,ILI incidence,2025-04-27,1,PL,quantile,0.99,349.4357604980469
2025-04-20,ILI incidence,2025-05-04,2,PL,median,,216.49563598632812
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.01,109.17622375488281
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.025,138.0645294189453
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.05,160.21693420410156
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.1,166.15631103515625
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.15,176.1979217529297
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.2,185.4475555419922
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.25,195.46905517578125
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.3,199.26585388183594
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.35,202.361572265625
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.4,207.556396484375
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.45,209.07412719726562
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.5,216.49563598632812
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.55,222.68527221679688
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.6,225.70054626464844
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.65,232.5526123046875
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.7,239.6024169921875
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.75,243.00914001464844
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.8,254.1313018798828
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.85,273.1800231933594
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.9,288.50738525390625
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.95,303.9650573730469
2025-04-20,ILI incidence,2025-05-04,2,PL,quantile,0.975,339.0231018066406
