origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-05-18,ARI incidence,2025-05-25,1,ES,median,,420.9317626953125
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.01,262.08636474609375
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.025,291.70709228515625
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.05,299.8421630859375
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.1,324.77734375
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.15,360.10284423828125
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.2,367.86383056640625
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.25,378.6139831542969
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.3,384.68115234375
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.35,387.11639404296875
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.4,399.66845703125
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.45,418.3941345214844
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.5,420.9317626953125
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.55,438.687255859375
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.6,444.8642272949219
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.65,460.0921936035156
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.7,468.00701904296875
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.75,483.7352600097656
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.8,502.0718078613281
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.85,521.5250244140625
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.9,565.1224365234375
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.95,599.1227416992188
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.975,620.3671875
2025-05-18,ARI incidence,2025-05-25,1,ES,quantile,0.99,657.573486328125
2025-05-18,ARI incidence,2025-06-01,2,ES,median,,436.35296630859375
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.01,212.77842712402344
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.025,258.21026611328125
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.05,272.31524658203125
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.1,310.4341125488281
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.15,327.9429931640625
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.2,350.2374267578125
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.25,363.1277770996094
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.3,383.5445556640625
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.35,393.64569091796875
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.4,400.38543701171875
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.45,416.04754638671875
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.5,436.35296630859375
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.55,444.75408935546875
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.6,455.2821044921875
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.65,466.61181640625
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.7,478.43731689453125
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.75,485.70526123046875
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.8,504.1336669921875
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.85,526.6373291015625
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.9,558.2969970703125
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.95,627.2368774414062
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.975,676.8912353515625
2025-05-18,ARI incidence,2025-06-01,2,ES,quantile,0.99,757.8618774414062
2025-05-18,ARI incidence,2025-06-08,3,ES,median,,438.51025390625
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.01,264.1473388671875
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.025,273.5118713378906
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.05,279.5207824707031
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.1,314.1794738769531
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.15,324.2322692871094
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.2,340.6459655761719
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.25,355.7220153808594
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.3,373.34954833984375
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.35,389.2754211425781
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.4,404.38714599609375
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.45,422.1944274902344
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.5,438.51025390625
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.55,445.6918640136719
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.6,465.74859619140625
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.65,473.1856689453125
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.7,494.9757995605469
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.75,521.8389282226562
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.8,538.0570678710938
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.85,558.5104370117188
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.9,610.7576293945312
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.95,695.1141357421875
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.975,769.1450805664062
2025-05-18,ARI incidence,2025-06-08,3,ES,quantile,0.99,894.0531005859375
2025-05-18,ARI incidence,2025-06-15,4,ES,median,,432.47845458984375
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.01,234.0801239013672
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.025,259.132080078125
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.05,273.107421875
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.1,306.5426330566406
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.15,347.8415222167969
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.2,351.3054504394531
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.25,360.7350769042969
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.3,372.7051086425781
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.35,387.1097106933594
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.4,391.2109680175781
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.45,426.6112365722656
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.5,432.47845458984375
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.55,452.0747985839844
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.6,466.72265625
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.65,482.50384521484375
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.7,533.8955688476562
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.75,555.2423095703125
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.8,588.0743408203125
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.85,669.8159790039062
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.9,702.8670654296875
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.95,775.49658203125
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.975,890.4437866210938
2025-05-18,ARI incidence,2025-06-15,4,ES,quantile,0.99,1056.9478759765625
