Country,Target,Model,Forecast_Date,Backtest_Round,Offset_Weeks,Train_Weeks,WIS
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-12-07,1,0,233,590.9282
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-30,2,1,232,616.4548
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-23,3,2,231,335.6967
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-16,4,3,230,343.0957
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-09,5,4,229,648.3776
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-02,6,5,228,1219.9535
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-26,7,6,227,445.6488
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-19,8,7,226,336.5658
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-12,9,8,225,259.071
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-05,10,9,224,398.2152
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-28,11,10,223,192.1003
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-21,12,11,222,320.1382
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-14,13,12,221,688.8386
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-07,14,13,220,429.2292
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-31,15,14,219,514.2249
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-24,16,15,218,386.9046
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-17,17,16,217,399.5977
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-10,18,17,216,158.6808
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-03,19,18,215,118.1254
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-27,20,19,214,675.3892
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-20,21,20,213,945.8526
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-13,22,21,212,1157.2376
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-06,23,22,211,361.6793
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-29,24,23,210,275.4712
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-22,25,24,209,246.7646
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-15,26,25,208,142.4418
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-08,27,26,207,234.4981
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-01,28,27,206,179.6689
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-25,29,28,205,201.0633
