origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-27,ILI incidence,2025-05-04,1,CZ,median,,6.512117385864258
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.01,-1.2264589071273804
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.025,1.5355396270751953
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.05,2.033534526824951
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.1,2.4899275302886963
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.15,2.8407223224639893
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.2,3.409074544906616
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.25,4.0584330558776855
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.3,5.263418674468994
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.35,5.457022190093994
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.4,5.955948829650879
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.45,6.294203281402588
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.5,6.512117385864258
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.55,6.813886642456055
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.6,7.212098598480225
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.65,7.953598976135254
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.7,8.425529479980469
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.75,8.555652618408203
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.8,8.686656951904297
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.85,8.761338233947754
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.9,11.300180435180664
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.95,13.065749168395996
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.975,14.564447402954102
2025-04-27,ILI incidence,2025-05-04,1,CZ,quantile,0.99,15.0257568359375
2025-04-27,ILI incidence,2025-05-11,2,CZ,median,,5.152551174163818
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.01,0.4336399435997009
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.025,0.8683503270149231
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.05,2.4554500579833984
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.1,3.175222396850586
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.15,3.591956615447998
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.2,3.7556400299072266
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.25,3.953321695327759
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.3,4.21251106262207
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.35,4.512023448944092
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.4,4.725049018859863
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.45,5.028017520904541
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.5,5.152551174163818
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.55,5.272224426269531
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.6,5.448720455169678
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.65,5.674355983734131
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.7,6.228846549987793
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.75,6.7442450523376465
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.8,8.514235496520996
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.85,9.509880065917969
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.9,9.816262245178223
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.95,10.669407844543457
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.975,13.690719604492188
2025-04-27,ILI incidence,2025-05-11,2,CZ,quantile,0.99,16.628803253173828
2025-04-27,ILI incidence,2025-05-18,3,CZ,median,,4.77950382232666
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.01,-0.27396073937416077
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.025,0.3876504898071289
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.05,0.6759030222892761
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.1,1.047108769416809
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.15,1.603951334953308
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.2,2.201509475708008
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.25,3.4691762924194336
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.3,4.0935187339782715
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.35,4.361563205718994
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.4,4.449571132659912
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.45,4.646315097808838
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.5,4.77950382232666
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.55,4.907680511474609
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.6,5.064598560333252
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.65,5.295284271240234
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.7,5.488685607910156
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.75,5.837843894958496
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.8,6.361259460449219
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.85,7.5114426612854
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.9,9.31936264038086
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.95,10.692137718200684
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.975,24.45091438293457
2025-04-27,ILI incidence,2025-05-18,3,CZ,quantile,0.99,28.472427368164062
2025-04-27,ILI incidence,2025-05-25,4,CZ,median,,3.7394461631774902
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.01,-3.4095358848571777
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.025,-1.0045340061187744
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.05,1.0000518560409546
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.1,1.2155406475067139
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.15,1.54297935962677
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.2,2.1610045433044434
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.25,3.2843191623687744
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.3,3.419506072998047
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.35,3.4785349369049072
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.4,3.5203394889831543
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.45,3.5915560722351074
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.5,3.7394461631774902
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.55,3.990941286087036
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.6,4.237192630767822
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.65,4.436130046844482
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.7,4.527716636657715
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.75,4.85221004486084
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.8,5.014728546142578
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.85,5.134828090667725
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.9,6.051332473754883
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.95,9.075225830078125
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.975,9.943832397460938
2025-04-27,ILI incidence,2025-05-25,4,CZ,quantile,0.99,31.11260223388672
