origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-07-13,ILI incidence,2025-07-20,1,ES,median,,9.276947021484375
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.01,3.993990182876587
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.025,4.5773186683654785
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.05,4.707176208496094
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.1,6.099278926849365
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.15,7.072664260864258
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.2,7.3055267333984375
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.25,7.644509792327881
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.3,7.770144462585449
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.35,8.548127174377441
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.4,8.752581596374512
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.45,9.098567008972168
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.5,9.276947021484375
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.55,9.548584938049316
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.6,9.860389709472656
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.65,10.062549591064453
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.7,10.23647403717041
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.75,10.396440505981445
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.8,10.474254608154297
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.85,10.570535659790039
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.9,10.66036319732666
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.95,11.525227546691895
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.975,12.140851974487305
2025-07-13,ILI incidence,2025-07-20,1,ES,quantile,0.99,15.834489822387695
2025-07-13,ILI incidence,2025-07-27,2,ES,median,,8.210498809814453
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.01,2.185981035232544
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.025,6.281127452850342
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.05,6.483031272888184
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.1,6.892678260803223
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.15,7.192351341247559
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.2,7.300569534301758
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.25,7.384708881378174
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.3,7.97974157333374
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.35,8.043754577636719
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.4,8.10741901397705
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.45,8.167081832885742
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.5,8.210498809814453
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.55,8.253355026245117
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.6,8.286702156066895
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.65,8.40125846862793
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.7,8.51952075958252
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.75,8.67740249633789
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.8,8.89599609375
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.85,9.034379005432129
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.9,9.873366355895996
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.95,10.525717735290527
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.975,12.315224647521973
2025-07-13,ILI incidence,2025-07-27,2,ES,quantile,0.99,14.853861808776855
2025-07-13,ILI incidence,2025-08-03,3,ES,median,,9.380972862243652
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.01,4.294337749481201
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.025,6.15811824798584
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.05,6.834529876708984
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.1,7.352258682250977
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.15,8.013211250305176
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.2,8.1632719039917
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.25,8.378775596618652
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.3,8.56973648071289
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.35,8.755942344665527
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.4,9.077022552490234
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.45,9.248292922973633
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.5,9.380972862243652
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.55,9.496869087219238
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.6,9.51675033569336
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.65,9.622594833374023
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.7,9.661837577819824
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.75,9.697304725646973
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.8,9.821023941040039
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.85,10.363703727722168
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.9,10.540017127990723
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.95,11.79638385772705
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.975,12.705519676208496
2025-07-13,ILI incidence,2025-08-03,3,ES,quantile,0.99,18.53279685974121
2025-07-13,ILI incidence,2025-08-10,4,ES,median,,8.90197467803955
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.01,5.496664047241211
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.025,7.226853847503662
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.05,7.412194728851318
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.1,7.605587005615234
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.15,7.835203647613525
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.2,7.948556900024414
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.25,8.051664352416992
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.3,8.178000450134277
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.35,8.308537483215332
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.4,8.826257705688477
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.45,8.867051124572754
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.5,8.90197467803955
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.55,8.944896697998047
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.6,9.139577865600586
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.65,9.423059463500977
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.7,9.571622848510742
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.75,9.624820709228516
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.8,9.649368286132812
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.85,9.81644344329834
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.9,10.864508628845215
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.95,13.765727996826172
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.975,17.74032974243164
2025-07-13,ILI incidence,2025-08-10,4,ES,quantile,0.99,28.281312942504883
