origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-20,ARI incidence,2025-04-27,1,BE,median,,641.1341552734375
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.01,448.8122863769531
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.025,463.0430603027344
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.05,503.56329345703125
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.1,539.7271728515625
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.15,570.751708984375
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.2,591.6393432617188
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.25,593.5675659179688
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.3,595.58837890625
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.35,617.8858642578125
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.4,630.4268798828125
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.45,637.9974975585938
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.5,641.1341552734375
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.55,653.254638671875
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.6,659.1798095703125
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.65,664.74755859375
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.7,675.7366333007812
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.75,696.004638671875
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.8,707.9166870117188
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.85,742.6343994140625
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.9,781.7824096679688
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.95,801.2676391601562
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.975,834.1024780273438
2025-04-20,ARI incidence,2025-04-27,1,BE,quantile,0.99,852.7242431640625
2025-04-20,ARI incidence,2025-05-04,2,BE,median,,605.6381225585938
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.01,423.8715515136719
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.025,440.3747863769531
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.05,471.1781005859375
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.1,512.6390380859375
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.15,532.3814697265625
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.2,544.3944702148438
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.25,548.4480590820312
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.3,557.5735473632812
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.35,585.3500366210938
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.4,592.949462890625
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.45,597.1826171875
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.5,605.6381225585938
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.55,617.56884765625
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.6,619.49658203125
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.65,639.8319702148438
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.7,650.1485595703125
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.75,666.30224609375
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.8,701.3101196289062
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.85,717.4111328125
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.9,763.4796752929688
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.95,806.4277954101562
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.975,877.1773071289062
2025-04-20,ARI incidence,2025-05-04,2,BE,quantile,0.99,915.432861328125
2025-04-20,ARI incidence,2025-05-11,3,BE,median,,574.8233642578125
2025-04-20,ARI incidence,2025-05-11,3,BE,quantile,0.01,358.9142761230469
