origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-05-18,ILI incidence,2025-05-25,1,BE,median,,39.373046875
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.01,0.6427872180938721
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.025,3.307152271270752
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.05,4.4534430503845215
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.1,5.729110240936279
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.15,6.825051307678223
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.2,9.82682991027832
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.25,23.03057861328125
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.3,25.367250442504883
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.35,27.826675415039062
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.4,30.713083267211914
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.45,33.29353713989258
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.5,39.373046875
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.55,40.018314361572266
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.6,42.094154357910156
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.65,44.15027618408203
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.7,46.885231018066406
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.75,51.44179153442383
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.8,54.49981689453125
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.85,56.11483383178711
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.9,75.40545654296875
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.95,84.6527099609375
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.975,88.68167877197266
2025-05-18,ILI incidence,2025-05-25,1,BE,quantile,0.99,98.89895629882812
2025-05-18,ILI incidence,2025-06-01,2,BE,median,,38.2430419921875
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.01,-1.4327832460403442
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.025,4.203425407409668
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.05,12.22889518737793
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.1,14.345869064331055
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.15,16.035171508789062
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.2,19.492460250854492
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.25,25.950498580932617
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.3,30.416210174560547
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.35,33.45478439331055
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.4,36.013790130615234
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.45,37.20047378540039
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.5,38.2430419921875
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.55,39.217384338378906
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.6,40.181861877441406
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.65,41.5547981262207
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.7,44.304115295410156
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.75,47.25938415527344
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.8,48.916015625
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.85,56.203548431396484
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.9,59.92747116088867
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.95,63.013545989990234
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.975,75.42395782470703
2025-05-18,ILI incidence,2025-06-01,2,BE,quantile,0.99,86.57118225097656
2025-05-18,ILI incidence,2025-06-08,3,BE,median,,37.98114776611328
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.01,-3.6223807334899902
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.025,7.821252822875977
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.05,15.650450706481934
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.1,19.826568603515625
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.15,24.54816246032715
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.2,30.58585548400879
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.25,30.712617874145508
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.3,31.673620223999023
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.35,34.252952575683594
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.4,34.34761047363281
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.45,34.77199172973633
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.5,37.98114776611328
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.55,40.26024627685547
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.6,41.80539321899414
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.65,43.01413345336914
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.7,44.71148681640625
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.75,46.42997741699219
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.8,49.98567199707031
2025-05-18,ILI incidence,2025-06-08,3,BE,quantile,0.85,55.7368278503418
