origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-16,ARI incidence,2025-02-23,1,CZ,median,,1540.842529296875
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.01,609.6110229492188
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.025,907.89208984375
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.05,1120.4984130859375
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.1,1264.248779296875
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.15,1301.9949951171875
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.2,1356.9312744140625
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.25,1440.7685546875
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.3,1449.23486328125
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.35,1452.3023681640625
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.4,1472.00244140625
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.45,1513.915283203125
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.5,1540.842529296875
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.55,1569.4102783203125
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.6,1576.4534912109375
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.65,1624.69482421875
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.7,1638.695068359375
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.75,1641.59521484375
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.8,1716.7847900390625
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.85,1736.469970703125
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.9,1792.948974609375
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.95,1978.938720703125
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.975,1987.158203125
2025-02-16,ARI incidence,2025-02-23,1,CZ,quantile,0.99,2076.2412109375
2025-02-16,ARI incidence,2025-03-02,2,CZ,median,,1416.916259765625
2025-02-16,ARI incidence,2025-03-02,2,CZ,quantile,0.01,689.7017822265625
2025-02-16,ARI incidence,2025-03-02,2,CZ,quantile,0.025,837.7509155273438
2025-02-16,ARI incidence,2025-03-02,2,CZ,quantile,0.05,935.0751342773438
2025-02-16,ARI incidence,2025-03-02,2,CZ,quantile,0.1,1079.72216796875
2025-02-16,ARI incidence,2025-03-02,2,CZ,quantile,0.15,1170.7821044921875
2025-02-16,ARI incidence,2025-03-02,2,CZ,quantile,0.2,1192.8826904296875
