origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-08,ILI incidence,2025-06-15,1,CZ,median,,6.2230024337768555
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.01,0.828972578048706
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.025,1.8270231485366821
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.05,1.8851001262664795
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.1,2.2378087043762207
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.15,2.8916678428649902
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.2,3.198718547821045
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.25,3.6399426460266113
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.3,5.445585250854492
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.35,5.62373685836792
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.4,5.852779865264893
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.45,5.970528602600098
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.5,6.2230024337768555
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.55,6.480550289154053
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.6,6.74262809753418
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.65,7.332530498504639
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.7,8.15023422241211
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.75,9.068513870239258
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.8,9.375877380371094
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.85,9.674253463745117
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.9,10.111509323120117
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.95,11.157354354858398
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.975,15.010043144226074
2025-06-08,ILI incidence,2025-06-15,1,CZ,quantile,0.99,17.1541690826416
2025-06-08,ILI incidence,2025-06-22,2,CZ,median,,6.770630836486816
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.01,0.8122000098228455
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.025,1.6541944742202759
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.05,2.2344534397125244
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.1,2.9346110820770264
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.15,4.367954730987549
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.2,4.714956283569336
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.25,5.0170488357543945
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.3,5.768705368041992
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.35,6.11737585067749
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.4,6.226189136505127
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.45,6.481189250946045
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.5,6.770630836486816
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.55,7.02569055557251
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.6,7.612249851226807
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.65,8.598406791687012
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.7,9.222633361816406
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.75,9.478007316589355
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.8,9.590472221374512
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.85,9.771031379699707
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.9,9.95811939239502
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.95,13.44965934753418
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.975,16.339031219482422
2025-06-08,ILI incidence,2025-06-22,2,CZ,quantile,0.99,16.994447708129883
2025-06-08,ILI incidence,2025-06-29,3,CZ,median,,6.521101951599121
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.01,-3.1347880363464355
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.025,-1.013204574584961
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.05,1.0224971771240234
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.1,2.467670202255249
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.15,3.5519373416900635
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.2,3.9256951808929443
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.25,4.299436092376709
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.3,4.488706111907959
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.35,5.528265953063965
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.4,5.810617923736572
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.45,6.015766143798828
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.5,6.521101951599121
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.55,7.014216899871826
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.6,8.789390563964844
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.65,9.036118507385254
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.7,9.129616737365723
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.75,10.186224937438965
2025-06-08,ILI incidence,2025-06-29,3,CZ,quantile,0.8,11.069334983825684
