origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-26,ARI incidence,2025-02-02,1,FR,median,,579.8628540039062
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.01,221.65768432617188
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.025,398.0864562988281
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.05,409.969482421875
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.1,481.01068115234375
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.15,484.28472900390625
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.2,486.4698486328125
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.25,497.95001220703125
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.3,534.4017333984375
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.35,545.256103515625
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.4,558.3952026367188
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.45,565.758544921875
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.5,579.8628540039062
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.55,583.5556030273438
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.6,587.5818481445312
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.65,592.982666015625
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.7,597.9276123046875
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.75,606.2576904296875
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.8,638.000732421875
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.85,658.6936645507812
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.9,659.6533203125
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.95,696.1156005859375
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.975,713.909912109375
2025-01-26,ARI incidence,2025-02-02,1,FR,quantile,0.99,741.0535888671875
2025-01-26,ARI incidence,2025-02-09,2,FR,median,,529.9344482421875
