origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-22,ILI incidence,2025-06-29,1,FR,median,,55.17333221435547
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.01,33.238059997558594
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.025,37.659149169921875
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.05,38.710052490234375
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.1,40.24101638793945
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.15,42.182708740234375
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.2,44.28327941894531
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.25,46.028812408447266
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.3,49.392826080322266
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.35,50.99994659423828
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.4,51.578609466552734
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.45,52.1453857421875
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.5,55.17333221435547
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.55,56.08099365234375
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.6,56.638668060302734
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.65,57.82981491088867
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.7,59.129966735839844
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.75,60.11284255981445
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.8,62.974151611328125
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.85,64.26536560058594
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.9,66.05743408203125
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.95,73.63971710205078
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.975,80.0186767578125
2025-06-22,ILI incidence,2025-06-29,1,FR,quantile,0.99,87.18685150146484
2025-06-22,ILI incidence,2025-07-06,2,FR,median,,49.51227569580078
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.01,31.098011016845703
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.025,32.028587341308594
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.05,33.23352813720703
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.1,36.643226623535156
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.15,37.887142181396484
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.2,39.32027816772461
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.25,45.77106475830078
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.3,46.514137268066406
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.35,48.055213928222656
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.4,48.60672378540039
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.45,49.069244384765625
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.5,49.51227569580078
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.55,51.29053497314453
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.6,52.19164276123047
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.65,53.33549499511719
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.7,54.258304595947266
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.75,57.171844482421875
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.8,60.89419174194336
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.85,68.73735809326172
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.9,71.82051849365234
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.95,80.439697265625
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.975,87.17265319824219
2025-06-22,ILI incidence,2025-07-06,2,FR,quantile,0.99,106.5009994506836
2025-06-22,ILI incidence,2025-07-13,3,FR,median,,45.85383605957031
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.01,22.68606948852539
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.025,30.590375900268555
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.05,30.82596778869629
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.1,32.34136962890625
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.15,34.10408020019531
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.2,35.601871490478516
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.25,37.67919158935547
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.3,39.69618606567383
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.35,42.83649826049805
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.4,44.253379821777344
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.45,45.131473541259766
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.5,45.85383605957031
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.55,49.24406433105469
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.6,50.61619567871094
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.65,51.51032257080078
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.7,53.534297943115234
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.75,53.75621795654297
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.8,56.728031158447266
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.85,70.11307525634766
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.9,74.49401092529297
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.95,92.73799896240234
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.975,99.71041870117188
2025-06-22,ILI incidence,2025-07-13,3,FR,quantile,0.99,120.43848419189453
2025-06-22,ILI incidence,2025-07-20,4,FR,median,,46.82639694213867
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.01,12.77474308013916
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.025,18.163654327392578
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.05,22.17178726196289
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.1,31.69806671142578
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.15,32.77528762817383
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.2,36.94321060180664
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.25,37.71613311767578
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.3,39.01626205444336
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.35,41.92451095581055
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.4,44.41060256958008
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.45,46.604942321777344
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.5,46.82639694213867
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.55,47.76081085205078
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.6,50.132049560546875
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.65,54.46642303466797
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.7,55.46735763549805
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.75,62.717872619628906
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.8,65.9227523803711
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.85,73.37715148925781
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.9,76.50801086425781
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.95,101.46670532226562
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.975,125.19303131103516
2025-06-22,ILI incidence,2025-07-20,4,FR,quantile,0.99,150.3109588623047
