origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-10-12,ARI incidence,2025-10-19,1,IT,median,,714.9010620117188
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.01,714.8726196289062
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.025,714.8768310546875
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.05,714.8841552734375
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.1,714.8876953125
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.15,714.8892822265625
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.2,714.8912353515625
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.25,714.8924560546875
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.3,714.893798828125
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.35,714.8956298828125
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.4,714.8984985351562
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.45,714.9007568359375
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.5,714.9010620117188
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.55,714.9016723632812
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.6,714.9022216796875
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.65,714.9026489257812
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.7,714.906982421875
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.75,714.9081420898438
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.8,714.9105224609375
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.85,714.91162109375
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.9,714.9142456054688
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.95,714.9161987304688
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.975,714.9175415039062
2025-10-12,ARI incidence,2025-10-19,1,IT,quantile,0.99,714.9404296875
2025-10-12,ARI incidence,2025-10-26,2,IT,median,,714.898193359375
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.01,714.8814086914062
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.025,714.883056640625
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.05,714.8843994140625
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.1,714.8846435546875
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.15,714.8856201171875
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.2,714.88671875
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.25,714.8917846679688
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.3,714.89501953125
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.35,714.8956298828125
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.4,714.896484375
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.45,714.8978271484375
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.5,714.898193359375
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.55,714.8991088867188
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.6,714.8998413085938
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.65,714.89990234375
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.7,714.901123046875
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.75,714.9013061523438
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.8,714.9028930664062
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.85,714.9041748046875
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.9,714.9127807617188
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.95,714.9140625
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.975,714.9190063476562
2025-10-12,ARI incidence,2025-10-26,2,IT,quantile,0.99,714.922119140625
2025-10-12,ARI incidence,2025-11-02,3,IT,median,,714.898681640625
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.01,714.8829956054688
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.025,714.8843994140625
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.05,714.88818359375
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.1,714.8908081054688
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.15,714.891845703125
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.2,714.8924560546875
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.25,714.8929443359375
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.3,714.8931884765625
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.35,714.8964233398438
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.4,714.8972778320312
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.45,714.8981323242188
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.5,714.898681640625
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.55,714.8994140625
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.6,714.900146484375
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.65,714.9005737304688
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.7,714.9011840820312
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.75,714.9024658203125
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.8,714.9076538085938
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.85,714.9090576171875
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.9,714.9112548828125
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.95,714.9134521484375
2025-10-12,ARI incidence,2025-11-02,3,IT,quantile,0.975,714.9148559570312
