origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-09-14,ILI incidence,2025-09-21,1,IT,median,,359.4036865234375
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.01,293.2578125
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.025,298.17230224609375
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.05,310.1303405761719
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.1,324.41693115234375
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.15,329.1611022949219
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.2,335.102783203125
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.25,342.33660888671875
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.3,344.4222106933594
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.35,347.3548889160156
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.4,348.7947998046875
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.45,354.0708923339844
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.5,359.4036865234375
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.55,361.0266418457031
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.6,362.6808166503906
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.65,369.1394348144531
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.7,375.9730529785156
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.75,385.3173522949219
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.8,390.88812255859375
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.85,402.9139099121094
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.9,405.2438659667969
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.95,422.5235595703125
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.975,441.94696044921875
2025-09-14,ILI incidence,2025-09-21,1,IT,quantile,0.99,474.99310302734375
2025-09-14,ILI incidence,2025-09-28,2,IT,median,,367.8923645019531
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.01,283.96807861328125
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.025,290.6485595703125
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.05,307.9661560058594
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.1,319.7037353515625
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.15,327.8758850097656
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.2,333.1025085449219
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.25,339.3612365722656
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.3,341.66925048828125
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.35,343.1034851074219
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.4,350.4432373046875
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.45,355.174072265625
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.5,367.8923645019531
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.55,369.8968505859375
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.6,375.72711181640625
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.65,378.3863220214844
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.7,382.52996826171875
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.75,393.32257080078125
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.8,409.5130615234375
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.85,410.5633850097656
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.9,417.65765380859375
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.95,438.9322814941406
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.975,449.142578125
2025-09-14,ILI incidence,2025-09-28,2,IT,quantile,0.99,512.55126953125
2025-09-14,ILI incidence,2025-10-05,3,IT,median,,351.82220458984375
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.01,258.421142578125
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.025,278.50531005859375
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.05,293.6769714355469
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.1,307.36285400390625
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.15,318.0234680175781
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.2,318.64501953125
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.25,319.3975524902344
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.3,321.0986328125
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.35,326.4176025390625
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.4,331.52838134765625
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.45,337.5791320800781
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.5,351.82220458984375
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.55,365.0672607421875
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.6,375.4803466796875
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.65,381.4832763671875
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.7,384.5137634277344
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.75,392.80438232421875
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.8,403.1731262207031
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.85,405.1639404296875
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.9,438.2474365234375
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.95,484.92755126953125
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.975,500.1130676269531
2025-09-14,ILI incidence,2025-10-05,3,IT,quantile,0.99,540.97705078125
2025-09-14,ILI incidence,2025-10-12,4,IT,median,,353.22381591796875
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.01,272.8436279296875
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.025,275.3381652832031
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.05,288.3439636230469
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.1,300.57781982421875
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.15,301.9955749511719
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.2,303.53497314453125
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.25,309.781494140625
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.3,313.457763671875
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.35,330.7424011230469
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.4,338.5811462402344
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.45,346.9569091796875
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.5,353.22381591796875
2025-09-14,ILI incidence,2025-10-12,4,IT,quantile,0.55,369.913330078125
