origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-29,ARI incidence,2025-01-05,1,PL,median,,0.008136918768286705
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.01,-0.019357595592737198
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.025,-0.011221926659345627
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.05,-0.007005832623690367
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.1,-0.003984704148024321
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.15,-0.0010287485783919692
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.2,-0.0005377737106755376
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.25,0.0007815479184500873
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.3,0.0022275918163359165
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.35,0.004169507417827845
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.4,0.006886153947561979
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.45,0.007464447990059853
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.5,0.008136918768286705
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.55,0.008356061764061451
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.6,0.00955069437623024
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.65,0.011041758581995964
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.7,0.012749984860420227
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.75,0.014812399633228779
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.8,0.018554748967289925
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.85,0.01937127113342285
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.9,0.021977903321385384
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.95,0.025707397609949112
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.975,0.028821446001529694
2024-12-29,ARI incidence,2025-01-05,1,PL,quantile,0.99,0.03132849559187889
2024-12-29,ARI incidence,2025-01-12,2,PL,median,,0.00526686105877161
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.01,-0.024404622614383698
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.025,-0.00896354392170906
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.05,-0.006681778933852911
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.1,-0.003719086991623044
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.15,-0.002192149870097637
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.2,0.00036548369098454714
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.25,0.0007145202835090458
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.3,0.0018234001472592354
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.35,0.0027195592410862446
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.4,0.003482336178421974
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.45,0.003760281717404723
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.5,0.00526686105877161
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.55,0.006624789442867041
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.6,0.009915588423609734
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.65,0.011999966576695442
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.7,0.012604113668203354
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.75,0.013099603354930878
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.8,0.015695983543992043
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.85,0.02127259410917759
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.9,0.023559458553791046
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.95,0.02505338005721569
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.975,0.035790394991636276
2024-12-29,ARI incidence,2025-01-12,2,PL,quantile,0.99,0.08556517213582993
2024-12-29,ARI incidence,2025-01-19,3,PL,median,,0.007340325973927975
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.01,-0.025093520060181618
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.025,-0.009833217598497868
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.05,-0.00927313044667244
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.1,-0.003316841321066022
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.15,-0.0021574683487415314
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.2,-0.0011005860287696123
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.25,-0.000302452826872468
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.3,0.00018763206026051193
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.35,0.0007234719232656062
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.4,0.001636345637962222
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.45,0.0024690148420631886
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.5,0.007340325973927975
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.55,0.008252803236246109
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.6,0.009424475952982903
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.65,0.01291060633957386
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.7,0.013624265789985657
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.75,0.014525754377245903
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.8,0.01654690131545067
2024-12-29,ARI incidence,2025-01-19,3,PL,quantile,0.85,0.019790340214967728
