origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-29,ARI incidence,2025-01-05,1,ES,median,,370.06866455078125
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.01,233.9364471435547
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.025,265.6348571777344
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.05,286.06866455078125
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.1,306.1015625
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.15,325.32464599609375
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.2,330.1163024902344
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.25,334.5501403808594
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.3,337.1415100097656
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.35,343.0166015625
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.4,357.3551940917969
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.45,366.9411315917969
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.5,370.06866455078125
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.55,371.8003845214844
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.6,378.288818359375
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.65,388.42242431640625
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.7,395.7375183105469
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.75,417.75439453125
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.8,431.3677062988281
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.85,437.2463684082031
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.9,467.10589599609375
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.95,470.8814697265625
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.975,488.8492431640625
2024-12-29,ARI incidence,2025-01-05,1,ES,quantile,0.99,525.4180908203125
2024-12-29,ARI incidence,2025-01-12,2,ES,median,,333.93841552734375
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.01,199.6024627685547
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.025,260.03558349609375
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.05,266.0614013671875
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.1,273.080810546875
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.15,285.2202453613281
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.2,314.888916015625
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.25,317.6708068847656
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.3,319.22296142578125
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.35,322.8954162597656
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.4,326.56414794921875
2024-12-29,ARI incidence,2025-01-12,2,ES,quantile,0.45,330.42779541015625
