Country,Target,Model,Forecast_Date,Backtest_Round,Offset_Weeks,Train_Weeks,WIS
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-12-07,1,0,233,459.5699
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-30,2,1,232,297.3863
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-23,3,2,231,348.528
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-16,4,3,230,399.9886
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-09,5,4,229,444.528
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-02,6,5,228,723.2324
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-26,7,6,227,787.0134
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-19,8,7,226,255.6914
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-12,9,8,225,243.3743
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-05,10,9,224,195.9536
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-28,11,10,223,210.0925
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-21,12,11,222,378.8332
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-14,13,12,221,253.3565
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-07,14,13,220,976.6419
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-31,15,14,219,897.6398
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-24,16,15,218,1043.3424
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-17,17,16,217,854.3414
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-10,18,17,216,224.7309
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-03,19,18,215,216.2655
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-27,20,19,214,354.6601
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-20,21,20,213,385.5635
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-13,22,21,212,468.7426
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-06,23,22,211,437.7687
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-29,24,23,210,398.962
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-22,25,24,209,330.4668
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-15,26,25,208,284.7241
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-08,27,26,207,381.2334
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-01,28,27,206,172.96
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-25,29,28,205,180.4813
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-18,30,29,204,165.5707
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-11,31,30,203,135.6068
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-04,32,31,202,154.0508
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-27,33,32,201,184.8006
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-20,34,33,200,190.706
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-13,35,34,199,279.1518
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-06,36,35,198,253.6528
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-30,37,36,197,124.0044
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-23,38,37,196,331.653
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-16,39,38,195,1956.6989
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-09,40,39,194,1180.903
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-02,41,40,193,1909.2447
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-23,42,41,192,1658.5565
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-16,43,42,191,1989.1008
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-09,44,43,190,2025.1667
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-02,45,44,189,813.6243
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-26,46,45,188,377.2906
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-19,47,46,187,698.0029
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-12,48,47,186,1002.9453
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-05,49,48,185,1038.3656
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2024-12-29,50,49,184,1132.8568
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2024-12-22,51,50,183,509.2137
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2024-12-15,52,51,182,1140.9339
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-12-07,1,0,233,645.766
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-30,2,1,232,570.515
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-23,3,2,231,441.6887
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-16,4,3,230,514.5
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-09,5,4,229,839.8215
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-02,6,5,228,616.5143
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-26,7,6,227,927.4615
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-19,8,7,226,278.7475
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-12,9,8,225,422.8781
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-05,10,9,224,525.1499
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-28,11,10,223,373.9922
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-21,12,11,222,401.0814
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-14,13,12,221,182.4304
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-07,14,13,220,253.5737
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-31,15,14,219,210.646
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-24,16,15,218,212.8856
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-17,17,16,217,273.4491
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-10,18,17,216,182.5101
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-08-03,19,18,215,182.7289
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-27,20,19,214,84.1834
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-20,21,20,213,57.8608
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-13,22,21,212,272.321
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-07-06,23,22,211,223.5534
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-29,24,23,210,265.425
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-22,25,24,209,329.2837
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-15,26,25,208,155.9454
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-08,27,26,207,139.6449
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-06-01,28,27,206,124.8515
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-25,29,28,205,126.88
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-18,30,29,204,168.0957
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-11,31,30,203,284.6713
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-05-04,32,31,202,220.6119
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-27,33,32,201,295.1735
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-20,34,33,200,405.7207
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-13,35,34,199,793.6281
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-04-06,36,35,198,1044.1033
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-30,37,36,197,685.4229
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-23,38,37,196,915.02
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-16,39,38,195,578.5877
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-09,40,39,194,282.6326
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-03-02,41,40,193,506.9972
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-23,42,41,192,316.0931
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-16,43,42,191,353.203
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-09,44,43,190,976.3884
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-02-02,45,44,189,1323.1863
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-26,46,45,188,1751.3492
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-19,47,46,187,2821.4037
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-12,48,47,186,2452.1113
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-01-05,49,48,185,2281.2193
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2024-12-29,50,49,184,1645.6214
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2024-12-22,51,50,183,1955.6458
Czech Republic,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2024-12-15,52,51,182,1708.8108
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-12-07,1,0,233,623.2873
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-30,2,1,232,555.9333
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-23,3,2,231,405.6419
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-16,4,3,230,323.9922
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-09,5,4,229,135.1174
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-11-02,6,5,228,98.6271
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-26,7,6,227,136.2835
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-19,8,7,226,97.3324
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-12,9,8,225,105.8423
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-10-05,10,9,224,77.1603
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-28,11,10,223,59.154
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-21,12,11,222,57.8008
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-14,13,12,221,129.7685
France,ARI incidence,Darts-TRANSFORMER(QuantileRegression),2025-09-07,14,13,220,216.3987
