origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-15,ARI incidence,2024-12-22,1,BE,median,,1601.1182861328125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.01,904.323974609375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.025,1001.7064819335938
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.05,1043.6634521484375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.1,1186.8046875
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.15,1293.1717529296875
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.2,1331.8431396484375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.25,1359.935302734375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.3,1390.6087646484375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.35,1457.2838134765625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.4,1509.8809814453125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.45,1539.9385986328125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.5,1601.1182861328125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.55,1633.2095947265625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.6,1677.933837890625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.65,1738.5467529296875
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.7,1779.5186767578125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.75,1821.3131103515625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.8,1874.6837158203125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.85,1943.775634765625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.9,2061.596923828125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.95,2193.709228515625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.975,2347.453369140625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.99,2383.909423828125
2024-12-15,ARI incidence,2024-12-29,2,BE,median,,1322.9844970703125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.01,860.3553466796875
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.025,897.2676391601562
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.05,926.95068359375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.1,1072.5987548828125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.15,1116.621337890625
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.2,1164.68115234375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.25,1173.8402099609375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.3,1179.9659423828125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.35,1225.757568359375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.4,1273.0616455078125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.45,1293.693115234375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.5,1322.9844970703125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.55,1351.929443359375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.6,1393.5821533203125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.65,1411.7064208984375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.7,1497.294921875
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.75,1515.121337890625
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.8,1542.3114013671875
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.85,1549.366943359375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.9,1702.5703125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.95,1792.0196533203125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.975,1962.908447265625
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.99,2087.04150390625
2024-12-15,ARI incidence,2025-01-05,3,BE,median,,1396.003662109375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.01,802.7626342773438
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.025,881.9122314453125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.05,925.5213623046875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.1,1078.1083984375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.15,1155.365478515625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.2,1208.6993408203125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.25,1217.62451171875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.3,1272.203125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.35,1308.041259765625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.4,1337.79248046875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.45,1378.3748779296875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.5,1396.003662109375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.55,1459.4403076171875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.6,1471.0703125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.65,1512.3262939453125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.7,1549.0953369140625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.75,1565.458251953125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.8,1627.3685302734375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.85,1681.342041015625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.9,1796.599609375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.95,2045.7728271484375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.975,2144.274658203125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.99,2216.77880859375
2024-12-15,ARI incidence,2025-01-12,4,BE,median,,1072.167236328125
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.01,648.3944702148438
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.025,687.9603271484375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.05,724.1223754882812
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.1,835.567138671875
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.15,886.096435546875
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.2,925.884521484375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.25,974.1165771484375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.3,981.730712890625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.35,1000.2457885742188
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.4,1035.035400390625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.45,1048.1759033203125
