origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-08,ARI incidence,2025-06-15,1,BE,median,,473.29608154296875
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.01,309.423583984375
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.025,329.590087890625
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.05,347.0205383300781
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.1,385.2669372558594
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.15,388.5856018066406
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.2,409.3655090332031
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.25,421.0247497558594
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.3,431.01300048828125
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.35,450.8282775878906
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.4,453.6978759765625
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.45,464.7703857421875
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.5,473.29608154296875
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.55,475.09954833984375
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.6,482.34686279296875
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.65,489.7710266113281
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.7,511.2615661621094
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.75,520.9987182617188
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.8,525.9857177734375
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.85,528.6546630859375
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.9,546.9093627929688
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.95,631.276611328125
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.975,685.7523803710938
2025-06-08,ARI incidence,2025-06-15,1,BE,quantile,0.99,904.7528686523438
2025-06-08,ARI incidence,2025-06-22,2,BE,median,,487.48211669921875
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.01,325.0706481933594
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.025,367.463134765625
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.05,385.6796569824219
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.1,406.5285339355469
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.15,411.5968017578125
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.2,439.1287536621094
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.25,454.5478820800781
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.3,461.5245361328125
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.35,467.4761657714844
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.4,473.8439636230469
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.45,480.0985107421875
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.5,487.48211669921875
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.55,498.2313232421875
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.6,506.4236755371094
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.65,523.1190185546875
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.7,532.7493286132812
2025-06-08,ARI incidence,2025-06-22,2,BE,quantile,0.75,545.4739379882812
