origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-09-14,ILI incidence,2025-09-21,1,BE,median,,81.06053161621094
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.01,6.990502834320068
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.025,12.916411399841309
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.05,15.367051124572754
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.1,31.91975212097168
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.15,34.636932373046875
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.2,42.48283767700195
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.25,48.87828826904297
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.3,54.35073471069336
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.35,63.2881965637207
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.4,70.13011169433594
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.45,74.39892578125
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.5,81.06053161621094
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.55,84.52371215820312
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.6,91.52894592285156
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.65,99.94947814941406
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.7,109.55623626708984
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.75,120.30137634277344
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.8,132.6666259765625
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.85,147.86285400390625
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.9,169.0018310546875
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.95,227.05543518066406
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.975,279.3578186035156
2025-09-14,ILI incidence,2025-09-21,1,BE,quantile,0.99,396.900146484375
2025-09-14,ILI incidence,2025-09-28,2,BE,median,,80.81774139404297
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.01,15.301396369934082
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.025,16.06011199951172
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.05,20.329389572143555
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.1,34.68099594116211
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.15,36.318756103515625
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.2,43.59253692626953
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.25,49.74798583984375
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.3,58.49297332763672
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.35,60.3364143371582
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.4,68.25485229492188
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.45,76.12980651855469
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.5,80.81774139404297
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.55,85.71878051757812
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.6,94.95650482177734
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.65,99.36923217773438
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.7,102.60282135009766
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.75,113.98454284667969
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.8,130.9983673095703
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.85,142.3159637451172
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.9,144.6029510498047
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.95,159.89999389648438
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.975,198.89071655273438
2025-09-14,ILI incidence,2025-09-28,2,BE,quantile,0.99,223.52679443359375
2025-09-14,ILI incidence,2025-10-05,3,BE,median,,100.08838653564453
