origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-30,ARI incidence,2025-04-06,1,CZ,median,,962.26611328125
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.01,470.7623291015625
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.025,511.44757080078125
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.05,602.229736328125
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.1,684.5626831054688
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.15,736.4773559570312
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.2,795.4696044921875
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.25,834.1701049804688
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.3,883.692626953125
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.35,905.9921264648438
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.4,914.2996215820312
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.45,938.1098022460938
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.5,962.26611328125
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.55,969.3516235351562
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.6,971.3108520507812
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.65,996.9423217773438
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.7,1011.2090454101562
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.75,1031.7188720703125
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.8,1060.6962890625
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.85,1106.166259765625
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.9,1134.00732421875
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.95,1151.945556640625
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.975,1172.6448974609375
2025-03-30,ARI incidence,2025-04-06,1,CZ,quantile,0.99,1342.47412109375
2025-03-30,ARI incidence,2025-04-13,2,CZ,median,,1036.182861328125
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.01,542.8050537109375
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.025,650.8887329101562
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.05,718.5567626953125
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.1,762.7960815429688
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.15,843.1349487304688
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.2,888.0632934570312
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.25,922.7760620117188
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.3,965.2615356445312
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.35,985.6677856445312
2025-03-30,ARI incidence,2025-04-13,2,CZ,quantile,0.4,994.340087890625
