origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-05-25,ILI incidence,2025-06-01,1,CZ,median,,6.9372358322143555
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.01,0.5108737349510193
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.025,1.0565887689590454
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.05,1.5870412588119507
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.1,2.9397459030151367
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.15,3.5072739124298096
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.2,4.569850921630859
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.25,5.285279750823975
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.3,5.376306533813477
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.35,5.8361358642578125
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.4,5.883584976196289
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.45,6.692714214324951
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.5,6.9372358322143555
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.55,7.202051639556885
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.6,7.218599319458008
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.65,7.769435882568359
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.7,8.539037704467773
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.75,8.739389419555664
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.8,9.146742820739746
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.85,10.755789756774902
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.9,12.916760444641113
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.95,16.525516510009766
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.975,27.48626708984375
2025-05-25,ILI incidence,2025-06-01,1,CZ,quantile,0.99,43.028831481933594
2025-05-25,ILI incidence,2025-06-08,2,CZ,median,,6.161344528198242
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.01,-0.41487690806388855
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.025,-0.20977090299129486
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.05,0.3717171549797058
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.1,1.4714620113372803
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.15,2.8553848266601562
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.2,3.706730604171753
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.25,4.148506164550781
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.3,4.493439197540283
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.35,4.913990020751953
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.4,5.129494667053223
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.45,6.049631595611572
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.5,6.161344528198242
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.55,6.322947025299072
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.6,6.4469685554504395
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.65,6.958305835723877
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.7,7.52422571182251
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.75,8.079185485839844
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.8,9.116291046142578
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.85,11.861326217651367
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.9,14.802681922912598
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.95,19.768049240112305
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.975,44.87831115722656
2025-05-25,ILI incidence,2025-06-08,2,CZ,quantile,0.99,51.95704650878906
2025-05-25,ILI incidence,2025-06-15,3,CZ,median,,6.908379554748535
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.01,1.4604392051696777
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.025,2.404921770095825
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.05,2.801598310470581
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.1,4.339209079742432
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.15,4.6659255027771
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.2,5.509867191314697
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.25,5.713924407958984
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.3,5.885451316833496
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.35,6.221912860870361
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.4,6.392980098724365
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.45,6.793162822723389
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.5,6.908379554748535
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.55,7.15091609954834
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.6,7.217413425445557
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.65,7.431015968322754
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.7,7.8398942947387695
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.75,8.097570419311523
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.8,8.52883243560791
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.85,9.591145515441895
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.9,11.813594818115234
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.95,19.70451545715332
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.975,24.905792236328125
2025-05-25,ILI incidence,2025-06-15,3,CZ,quantile,0.99,33.59451675415039
2025-05-25,ILI incidence,2025-06-22,4,CZ,median,,6.969501972198486
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.01,1.395624041557312
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.025,2.360379457473755
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.05,2.5528745651245117
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.1,3.9975762367248535
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.15,4.682081699371338
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.2,5.40855073928833
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.25,5.5953450202941895
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.3,5.7785210609436035
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.35,6.08486270904541
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.4,6.427004337310791
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.45,6.823473930358887
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.5,6.969501972198486
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.55,7.193644046783447
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.6,7.257587432861328
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.65,7.781646728515625
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.7,8.025771141052246
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.75,8.441732406616211
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.8,8.763567924499512
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.85,9.930609703063965
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.9,12.33357048034668
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.95,18.674116134643555
2025-05-25,ILI incidence,2025-06-22,4,CZ,quantile,0.975,26.347381591796875
