origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-06,ARI incidence,2025-04-13,1,FR,median,,143.87802124023438
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.01,99.20994567871094
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.025,123.46319580078125
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.05,128.79627990722656
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.1,133.11532592773438
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.15,136.69615173339844
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.2,138.72125244140625
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.25,139.86129760742188
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.3,140.6250457763672
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.35,141.47073364257812
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.4,142.18809509277344
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.45,142.95587158203125
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.5,143.87802124023438
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.55,145.24900817871094
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.6,146.4105682373047
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.65,149.27255249023438
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.7,151.46768188476562
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.75,152.46331787109375
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.8,155.30068969726562
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.85,160.82839965820312
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.9,176.42030334472656
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.95,223.3468475341797
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.975,258.04913330078125
2025-04-06,ARI incidence,2025-04-13,1,FR,quantile,0.99,315.2470703125
2025-04-06,ARI incidence,2025-04-20,2,FR,median,,118.29611206054688
