origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-08,ILI incidence,2025-06-15,1,FR,median,,50.633575439453125
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.01,15.459607124328613
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.025,24.022687911987305
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.05,26.87684440612793
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.1,29.633880615234375
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.15,33.624332427978516
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.2,35.67552185058594
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.25,38.573974609375
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.3,41.88547897338867
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.35,42.75544357299805
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.4,47.081729888916016
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.45,48.82504653930664
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.5,50.633575439453125
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.55,53.903289794921875
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.6,55.881378173828125
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.65,58.05549621582031
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.7,61.306251525878906
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.75,62.937042236328125
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.8,67.3342514038086
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.85,72.43904113769531
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.9,86.96916961669922
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.95,111.03514099121094
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.975,132.19163513183594
2025-06-08,ILI incidence,2025-06-15,1,FR,quantile,0.99,153.38783264160156
2025-06-08,ILI incidence,2025-06-22,2,FR,median,,43.927268981933594
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.01,17.281410217285156
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.025,24.672367095947266
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.05,25.760961532592773
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.1,27.91319465637207
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.15,30.915884017944336
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.2,33.79916763305664
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.25,36.17641830444336
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.3,38.17095184326172
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.35,38.73333740234375
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.4,41.060081481933594
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.45,42.61888885498047
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.5,43.927268981933594
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.55,46.92206954956055
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.6,48.606163024902344
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.65,49.97038269042969
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.7,53.0193977355957
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.75,53.73473358154297
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.8,54.73041534423828
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.85,57.85116958618164
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.9,68.17173767089844
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.95,83.25271606445312
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.975,109.7416763305664
2025-06-08,ILI incidence,2025-06-22,2,FR,quantile,0.99,139.8386688232422
2025-06-08,ILI incidence,2025-06-29,3,FR,median,,51.234466552734375
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.01,16.26864242553711
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.025,27.47487449645996
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.05,29.105056762695312
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.1,32.063785552978516
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.15,37.02537536621094
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.2,38.52613830566406
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.25,40.727787017822266
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.3,44.34505081176758
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.35,45.364173889160156
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.4,47.86738204956055
2025-06-08,ILI incidence,2025-06-29,3,FR,quantile,0.45,50.18484115600586
