origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-08-31,ARI incidence,2025-09-07,1,IT,median,,714.901611328125
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.01,714.879150390625
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.025,714.8961791992188
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.05,714.8968505859375
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.1,714.8975830078125
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.15,714.89892578125
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.2,714.8994140625
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.25,714.8998413085938
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.3,714.9002075195312
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.35,714.9005737304688
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.4,714.90087890625
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.45,714.9012451171875
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.5,714.901611328125
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.55,714.9019775390625
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.6,714.90234375
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.65,714.9028930664062
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.7,714.9038696289062
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.75,714.9044189453125
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.8,714.9091186523438
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.85,714.9099731445312
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.9,714.91357421875
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.95,714.9312133789062
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.975,714.9650268554688
2025-08-31,ARI incidence,2025-09-07,1,IT,quantile,0.99,714.9951171875
2025-08-31,ARI incidence,2025-09-14,2,IT,median,,714.9013061523438
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.01,714.8908081054688
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.025,714.8968505859375
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.05,714.8972778320312
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.1,714.8977661132812
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.15,714.8986206054688
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.2,714.89892578125
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.25,714.8992919921875
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.3,714.8997192382812
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.35,714.9002685546875
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.4,714.900634765625
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.45,714.9009399414062
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.5,714.9013061523438
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.55,714.9014892578125
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.6,714.9019165039062
2025-08-31,ARI incidence,2025-09-14,2,IT,quantile,0.65,714.9024047851562
