origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-10-05,ILI incidence,2025-10-12,1,IT,median,,379.8084716796875
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.01,248.58743286132812
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.025,290.5142822265625
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.05,291.6340026855469
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.1,308.3149108886719
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.15,334.89044189453125
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.2,336.6949462890625
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.25,341.56854248046875
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.3,351.5393981933594
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.35,357.0901184082031
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.4,370.0727233886719
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.45,372.96148681640625
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.5,379.8084716796875
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.55,399.0283508300781
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.6,405.02593994140625
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.65,418.6197814941406
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.7,428.883056640625
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.75,443.7591857910156
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.8,482.3760986328125
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.85,499.21783447265625
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.9,546.916259765625
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.95,602.5773315429688
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.975,677.0977783203125
2025-10-05,ILI incidence,2025-10-12,1,IT,quantile,0.99,753.4923095703125
2025-10-05,ILI incidence,2025-10-19,2,IT,median,,430.7382507324219
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.01,299.4412536621094
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.025,300.6800231933594
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.05,307.2035827636719
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.1,339.03350830078125
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.15,363.0239562988281
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.2,371.2365417480469
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.25,375.2868347167969
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.3,392.7983093261719
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.35,397.75738525390625
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.4,416.152587890625
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.45,421.7962646484375
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.5,430.7382507324219
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.55,452.67828369140625
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.6,463.92877197265625
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.65,476.4909362792969
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.7,482.9476623535156
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.75,510.0478210449219
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.8,512.95703125
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.85,549.647705078125
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.9,578.7488403320312
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.95,649.8294677734375
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.975,719.5947265625
2025-10-05,ILI incidence,2025-10-19,2,IT,quantile,0.99,836.1263427734375
2025-10-05,ILI incidence,2025-10-26,3,IT,median,,505.2379150390625
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.01,306.7939453125
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.025,308.64459228515625
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.05,318.0447082519531
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.1,361.40386962890625
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.15,387.2298889160156
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.2,410.3208312988281
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.25,421.9828186035156
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.3,430.36181640625
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.35,437.2424621582031
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.4,464.7514953613281
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.45,479.75982666015625
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.5,505.2379150390625
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.55,512.5723266601562
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.6,534.9923095703125
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.65,541.0745239257812
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.7,597.8467407226562
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.75,618.889404296875
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.8,651.753173828125
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.85,685.2831420898438
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.9,749.8418579101562
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.95,824.3324584960938
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.975,895.7737426757812
2025-10-05,ILI incidence,2025-10-26,3,IT,quantile,0.99,1059.1590576171875
2025-10-05,ILI incidence,2025-11-02,4,IT,median,,509.98828125
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.01,298.4921569824219
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.025,310.318115234375
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.05,341.0574951171875
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.1,382.0670471191406
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.15,406.8873596191406
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.2,437.89044189453125
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.25,444.2660827636719
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.3,451.8223876953125
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.35,470.2477111816406
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.4,489.8718566894531
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.45,503.1459045410156
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.5,509.98828125
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.55,527.6237182617188
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.6,544.35888671875
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.65,561.939697265625
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.7,611.382568359375
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.75,626.67724609375
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.8,638.6127319335938
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.85,684.3988037109375
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.9,748.9149169921875
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.95,888.5830078125
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.975,981.1345825195312
2025-10-05,ILI incidence,2025-11-02,4,IT,quantile,0.99,1124.54833984375
