origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-27,ARI incidence,2025-05-04,1,PL,median,,-0.00026370224077254534
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.01,-0.012552388943731785
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.025,-0.007310888264328241
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.05,-0.0051870327442884445
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.1,-0.0042481389828026295
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.15,-0.0030509913340210915
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.2,-0.0020790647249668837
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.25,-0.001714074518531561
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.3,-0.0013929137494415045
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.35,-0.0007921959622763097
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.4,-0.0007454309961758554
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.45,-0.0005306469392962754
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.5,-0.00026370224077254534
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.55,0.00010548411955824122
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.6,0.00029719871236011386
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.65,0.0003902078024111688
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.7,0.0008567977929487824
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.75,0.00118741556070745
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.8,0.0014213892864063382
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.85,0.0017527242889627814
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.9,0.009969068691134453
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.95,0.020111994817852974
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.975,0.04755186289548874
2025-04-27,ARI incidence,2025-05-04,1,PL,quantile,0.99,0.16024579107761383
2025-04-27,ARI incidence,2025-05-11,2,PL,median,,-0.0004130955203436315
2025-04-27,ARI incidence,2025-05-11,2,PL,quantile,0.01,-0.013752009719610214
2025-04-27,ARI incidence,2025-05-11,2,PL,quantile,0.025,-0.010205191560089588
2025-04-27,ARI incidence,2025-05-11,2,PL,quantile,0.05,-0.008749347180128098
2025-04-27,ARI incidence,2025-05-11,2,PL,quantile,0.1,-0.006445645354688168
