origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-08,ILI incidence,2025-06-15,1,PL,median,,146.86160278320312
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.01,68.26630401611328
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.025,87.7942886352539
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.05,97.41989135742188
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.1,107.31350708007812
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.15,115.53630065917969
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.2,123.89336395263672
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.25,128.6873321533203
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.3,132.29824829101562
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.35,135.4100341796875
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.4,141.78240966796875
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.45,144.3206787109375
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.5,146.86160278320312
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.55,150.7902069091797
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.6,153.96563720703125
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.65,157.88751220703125
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.7,163.70654296875
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.75,166.15489196777344
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.8,173.7064208984375
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.85,175.9560546875
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.9,202.53114318847656
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.95,218.5657958984375
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.975,232.5183563232422
2025-06-08,ILI incidence,2025-06-15,1,PL,quantile,0.99,274.2110290527344
2025-06-08,ILI incidence,2025-06-22,2,PL,median,,144.206298828125
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.01,71.36951446533203
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.025,82.72625732421875
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.05,88.41999816894531
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.1,99.42157745361328
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.15,108.45064544677734
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.2,114.3958969116211
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.25,124.0564193725586
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.3,127.95553588867188
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.35,132.0935821533203
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.4,137.9224853515625
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.45,143.54046630859375
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.5,144.206298828125
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.55,150.18528747558594
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.6,153.0482177734375
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.65,155.30130004882812
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.7,160.65509033203125
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.75,162.9324951171875
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.8,165.793701171875
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.85,170.05406188964844
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.9,188.34092712402344
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.95,204.84373474121094
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.975,223.0635528564453
2025-06-08,ILI incidence,2025-06-22,2,PL,quantile,0.99,275.6361999511719
2025-06-08,ILI incidence,2025-06-29,3,PL,median,,136.3976593017578
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.01,78.98735809326172
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.025,88.22599029541016
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.05,92.99359893798828
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.1,99.9113998413086
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.15,105.50225830078125
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.2,113.43401336669922
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.25,121.61177062988281
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.3,124.5481948852539
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.35,128.04835510253906
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.4,131.11871337890625
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.45,135.0795440673828
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.5,136.3976593017578
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.55,140.17367553710938
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.6,142.59580993652344
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.65,144.38656616210938
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.7,147.7581024169922
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.75,148.62313842773438
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.8,149.35443115234375
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.85,149.83572387695312
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.9,159.74063110351562
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.95,169.27481079101562
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.975,175.16213989257812
2025-06-08,ILI incidence,2025-06-29,3,PL,quantile,0.99,207.34921264648438
2025-06-08,ILI incidence,2025-07-06,4,PL,median,,141.6820068359375
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.01,73.83515930175781
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.025,88.97274780273438
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.05,93.59906005859375
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.1,98.14513397216797
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.15,104.38148498535156
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.2,112.90088653564453
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.25,121.78520202636719
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.3,125.60637664794922
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.35,128.44491577148438
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.4,134.02418518066406
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.45,137.19395446777344
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.5,141.6820068359375
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.55,144.9564208984375
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.6,150.10586547851562
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.65,152.4495391845703
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.7,156.31793212890625
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.75,160.2232208251953
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.8,162.17201232910156
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.85,168.35781860351562
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.9,191.8997039794922
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.95,205.23886108398438
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.975,229.918212890625
2025-06-08,ILI incidence,2025-07-06,4,PL,quantile,0.99,282.020751953125
