origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-16,ILI incidence,2025-02-23,1,ES,median,,59.66522216796875
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.01,21.90236473083496
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.025,24.068878173828125
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.05,26.655532836914062
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.1,29.039602279663086
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.15,36.28565216064453
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.2,37.157745361328125
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.25,41.82215881347656
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.3,43.24516296386719
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.35,48.40049362182617
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.4,51.8812141418457
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.45,55.474029541015625
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.5,59.66522216796875
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.55,61.58759689331055
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.6,63.822086334228516
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.65,64.02320098876953
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.7,66.91541290283203
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.75,68.567626953125
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.8,71.34781646728516
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.85,74.57514190673828
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.9,79.16581726074219
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.95,84.36992645263672
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.975,92.85478210449219
2025-02-16,ILI incidence,2025-02-23,1,ES,quantile,0.99,111.82552337646484
2025-02-16,ILI incidence,2025-03-02,2,ES,median,,67.66758728027344
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.01,23.98231315612793
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.025,27.076480865478516
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.05,31.28325653076172
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.1,37.500850677490234
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.15,43.497623443603516
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.2,46.30191421508789
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.25,50.649696350097656
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.3,55.79339599609375
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.35,58.802852630615234
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.4,61.11496353149414
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.45,63.67482376098633
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.5,67.66758728027344
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.55,68.42495727539062
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.6,72.11429595947266
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.65,72.64016723632812
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.7,74.52033996582031
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.75,81.63302612304688
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.8,83.70047760009766
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.85,87.3912124633789
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.9,94.32767486572266
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.95,104.09516143798828
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.975,118.52300262451172
2025-02-16,ILI incidence,2025-03-02,2,ES,quantile,0.99,144.83969116210938
2025-02-16,ILI incidence,2025-03-09,3,ES,median,,49.43703842163086
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.01,19.37401580810547
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.025,22.576358795166016
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.05,25.239961624145508
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.1,29.124832153320312
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.15,32.96372985839844
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.2,34.794063568115234
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.25,38.64555358886719
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.3,40.247596740722656
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.35,43.02682113647461
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.4,45.03789520263672
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.45,48.692970275878906
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.5,49.43703842163086
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.55,52.359275817871094
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.6,54.39506149291992
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.65,55.37168884277344
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.7,58.22904968261719
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.75,59.10700988769531
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.8,60.58041000366211
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.85,64.0990219116211
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.9,70.02191162109375
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.95,79.09961700439453
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.975,94.1641845703125
2025-02-16,ILI incidence,2025-03-09,3,ES,quantile,0.99,108.5248031616211
2025-02-16,ILI incidence,2025-03-16,4,ES,median,,47.637237548828125
2025-02-16,ILI incidence,2025-03-16,4,ES,quantile,0.01,24.011091232299805
2025-02-16,ILI incidence,2025-03-16,4,ES,quantile,0.025,27.289039611816406
