Country,Target,Model,Forecast_Date,Backtest_Round,Offset_Weeks,Train_Weeks,WIS
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-12-07,1,0,233,1111.9216
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-11-30,2,1,232,370.5448
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-11-23,3,2,231,386.0885
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-11-16,4,3,230,389.1633
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-11-09,5,4,229,734.8572
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-11-02,6,5,228,628.0919
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-10-26,7,6,227,631.3447
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-10-19,8,7,226,453.5027
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-10-12,9,8,225,433.3924
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-10-05,10,9,224,337.6554
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-09-28,11,10,223,502.1778
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-09-21,12,11,222,599.3493
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-09-14,13,12,221,458.8012
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-09-07,14,13,220,704.7677
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-08-31,15,14,219,504.6458
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-08-24,16,15,218,407.9598
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-08-17,17,16,217,599.5109
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-08-10,18,17,216,412.5825
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-08-03,19,18,215,790.7405
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-07-27,20,19,214,736.1147
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-07-20,21,20,213,676.5836
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-07-13,22,21,212,206.8195
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-07-06,23,22,211,164.0868
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-06-29,24,23,210,119.867
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-06-22,25,24,209,138.504
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-06-15,26,25,208,172.6837
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-06-08,27,26,207,172.2291
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-06-01,28,27,206,170.8445
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-05-25,29,28,205,193.8856
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-05-18,30,29,204,188.2741
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-05-11,31,30,203,135.3547
Belgium,ARI incidence,Darts-TCN(QuantileRegression)+Weather,2025-05-04,32,31,202,126.5077
