origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-15,ARI incidence,2024-12-22,1,BE,median,,1330.6329345703125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.01,881.8382568359375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.025,917.59423828125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.05,1004.8390502929688
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.1,1105.6837158203125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.15,1122.07470703125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.2,1180.03564453125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.25,1237.11328125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.3,1255.1873779296875
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.35,1275.4429931640625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.4,1313.5496826171875
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.45,1323.7391357421875
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.5,1330.6329345703125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.55,1361.1767578125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.6,1373.32666015625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.65,1388.1226806640625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.7,1407.2386474609375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.75,1466.853759765625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.8,1492.4735107421875
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.85,1513.4163818359375
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.9,1610.7989501953125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.95,1682.7149658203125
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.975,1754.8531494140625
2024-12-15,ARI incidence,2024-12-22,1,BE,quantile,0.99,1807.068603515625
2024-12-15,ARI incidence,2024-12-29,2,BE,median,,1331.897705078125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.01,794.3944702148438
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.025,819.1257934570312
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.05,896.8748779296875
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.1,1012.6211547851562
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.15,1097.1068115234375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.2,1110.235595703125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.25,1184.718505859375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.3,1222.53076171875
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.35,1238.1380615234375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.4,1254.0428466796875
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.45,1288.7200927734375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.5,1331.897705078125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.55,1359.3555908203125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.6,1376.743896484375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.65,1402.640869140625
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.7,1425.87890625
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.75,1447.4505615234375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.8,1537.639404296875
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.85,1553.3001708984375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.9,1561.677001953125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.95,1651.9815673828125
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.975,1705.98583984375
2024-12-15,ARI incidence,2024-12-29,2,BE,quantile,0.99,1847.704345703125
2024-12-15,ARI incidence,2025-01-05,3,BE,median,,1305.5057373046875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.01,807.0014038085938
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.025,899.1337890625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.05,920.7241821289062
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.1,1034.599853515625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.15,1106.9462890625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.2,1132.7376708984375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.25,1163.920654296875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.3,1188.4375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.35,1197.7950439453125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.4,1209.253173828125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.45,1263.34228515625
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.5,1305.5057373046875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.55,1329.66357421875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.6,1354.3887939453125
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.65,1358.1917724609375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.7,1411.05859375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.75,1436.9873046875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.8,1507.57177734375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.85,1579.4842529296875
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.9,1624.9593505859375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.95,1637.697021484375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.975,1788.0560302734375
2024-12-15,ARI incidence,2025-01-05,3,BE,quantile,0.99,1847.45703125
2024-12-15,ARI incidence,2025-01-12,4,BE,median,,1283.528564453125
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.01,780.4932250976562
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.025,816.3829956054688
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.05,868.9319458007812
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.1,981.853515625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.15,1019.4208984375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.2,1068.572265625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.25,1132.234375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.3,1145.2109375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.35,1163.8529052734375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.4,1169.1361083984375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.45,1232.6343994140625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.5,1283.528564453125
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.55,1296.268310546875
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.6,1316.894775390625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.65,1321.460693359375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.7,1332.44677734375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.75,1361.9788818359375
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.8,1472.5787353515625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.85,1481.4581298828125
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.9,1623.516357421875
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.95,1665.653564453125
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.975,1748.8873291015625
2024-12-15,ARI incidence,2025-01-12,4,BE,quantile,0.99,1912.698974609375
