origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-01,ARI incidence,2025-06-08,1,BE,median,,493.70684814453125
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.01,360.2164611816406
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.025,379.6297302246094
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.05,404.3875427246094
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.1,430.0644836425781
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.15,433.94146728515625
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.2,456.8211975097656
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.25,468.248291015625
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.3,469.5360412597656
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.35,481.2103271484375
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.4,488.73211669921875
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.45,489.8402099609375
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.5,493.70684814453125
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.55,505.7541809082031
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.6,506.9949035644531
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.65,508.6293029785156
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.7,513.6621704101562
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.75,530.1768798828125
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.8,547.4190063476562
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.85,569.6303100585938
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.9,579.1084594726562
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.95,602.1887817382812
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.975,626.4031372070312
2025-06-01,ARI incidence,2025-06-08,1,BE,quantile,0.99,689.843994140625
2025-06-01,ARI incidence,2025-06-15,2,BE,median,,483.7203369140625
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.01,375.83392333984375
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.025,376.85089111328125
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.05,395.00408935546875
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.1,410.77545166015625
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.15,433.7555236816406
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.2,435.5380859375
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.25,445.0158386230469
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.3,450.0177001953125
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.35,468.90234375
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.4,473.12890625
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.45,476.5435485839844
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.5,483.7203369140625
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.55,490.055908203125
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.6,493.0150146484375
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.65,506.95684814453125
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.7,518.4738159179688
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.75,522.0116577148438
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.8,539.3342895507812
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.85,550.6163940429688
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.9,561.4591064453125
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.95,582.2760009765625
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.975,604.9795532226562
2025-06-01,ARI incidence,2025-06-15,2,BE,quantile,0.99,649.3545532226562
2025-06-01,ARI incidence,2025-06-22,3,BE,median,,470.874755859375
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.01,352.88128662109375
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.025,381.3189697265625
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.05,400.3592224121094
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.1,405.88385009765625
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.15,421.32305908203125
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.2,424.05859375
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.25,426.2528076171875
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.3,432.7213134765625
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.35,448.556640625
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.4,451.7823791503906
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.45,462.9570007324219
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.5,470.874755859375
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.55,474.11383056640625
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.6,475.61163330078125
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.65,482.3925476074219
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.7,498.1700744628906
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.75,499.7245788574219
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.8,528.902587890625
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.85,551.1597290039062
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.9,569.8911743164062
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.95,602.1620483398438
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.975,668.3721923828125
2025-06-01,ARI incidence,2025-06-22,3,BE,quantile,0.99,684.2294311523438
2025-06-01,ARI incidence,2025-06-29,4,BE,median,,463.34210205078125
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.01,356.37738037109375
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.025,373.3902893066406
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.05,376.22271728515625
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.1,379.8146667480469
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.15,399.4897766113281
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.2,406.88873291015625
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.25,424.11956787109375
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.3,440.86212158203125
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.35,443.5949401855469
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.4,448.32757568359375
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.45,460.1153869628906
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.5,463.34210205078125
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.55,468.3089904785156
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.6,481.6435241699219
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.65,485.15948486328125
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.7,494.1411437988281
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.75,500.0948181152344
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.8,509.3080139160156
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.85,532.1748657226562
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.9,549.9807739257812
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.95,581.2537841796875
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.975,627.1788940429688
2025-06-01,ARI incidence,2025-06-29,4,BE,quantile,0.99,681.5244140625
