origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-06,ILI incidence,2025-04-13,1,BE,median,,114.36068725585938
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.01,51.41036605834961
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.025,52.9896125793457
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.05,58.8770637512207
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.1,67.85189819335938
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.15,79.75817108154297
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.2,88.69414520263672
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.25,97.51023864746094
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.3,98.49801635742188
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.35,99.22186279296875
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.4,107.6050033569336
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.45,110.96269989013672
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.5,114.36068725585938
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.55,118.06309509277344
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.6,122.2596664428711
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.65,123.90333557128906
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.7,125.48255157470703
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.75,129.96885681152344
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.8,141.87608337402344
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.85,144.99620056152344
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.9,154.04139709472656
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.95,173.55517578125
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.975,182.67218017578125
2025-04-06,ILI incidence,2025-04-13,1,BE,quantile,0.99,243.0396728515625
2025-04-06,ILI incidence,2025-04-20,2,BE,median,,98.46333312988281
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.01,12.233602523803711
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.025,20.031190872192383
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.05,37.88770294189453
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.1,49.80836486816406
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.15,56.370391845703125
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.2,66.51844024658203
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.25,73.53329467773438
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.3,76.55496978759766
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.35,87.80645751953125
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.4,89.87991333007812
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.45,93.96556091308594
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.5,98.46333312988281
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.55,100.13668823242188
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.6,101.49639129638672
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.65,103.36246490478516
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.7,105.32592010498047
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.75,108.63571166992188
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.8,116.95531463623047
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.85,118.78402709960938
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.9,121.51480865478516
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.95,145.7563934326172
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.975,180.4021759033203
2025-04-06,ILI incidence,2025-04-20,2,BE,quantile,0.99,202.59890747070312
2025-04-06,ILI incidence,2025-04-27,3,BE,median,,69.99339294433594
2025-04-06,ILI incidence,2025-04-27,3,BE,quantile,0.01,18.511198043823242
2025-04-06,ILI incidence,2025-04-27,3,BE,quantile,0.025,29.884288787841797
2025-04-06,ILI incidence,2025-04-27,3,BE,quantile,0.05,36.52617645263672
2025-04-06,ILI incidence,2025-04-27,3,BE,quantile,0.1,40.5783576965332
2025-04-06,ILI incidence,2025-04-27,3,BE,quantile,0.15,51.10841751098633
