origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-02,ARI incidence,2025-03-09,1,CZ,median,,1202.4735107421875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.01,722.764404296875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.025,831.9364013671875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.05,963.0105590820312
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.1,1018.9035034179688
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.15,1073.8502197265625
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.2,1107.561767578125
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.25,1141.3206787109375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.3,1155.0594482421875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.35,1157.3662109375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.4,1171.7196044921875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.45,1195.12646484375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.5,1202.4735107421875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.55,1227.075439453125
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.6,1233.4989013671875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.65,1258.5506591796875
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.7,1288.36865234375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.75,1319.4622802734375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.8,1368.0491943359375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.85,1398.534423828125
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.9,1407.3763427734375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.95,1513.1978759765625
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.975,1540.56787109375
2025-03-02,ARI incidence,2025-03-09,1,CZ,quantile,0.99,1634.120849609375
2025-03-02,ARI incidence,2025-03-16,2,CZ,median,,1126.616943359375
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.01,719.498291015625
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.025,780.4921264648438
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.05,864.7269287109375
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.1,962.1688842773438
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.15,999.31591796875
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.2,1023.1997680664062
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.25,1036.1680908203125
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.3,1064.9521484375
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.35,1085.856689453125
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.4,1110.660400390625
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.45,1125.991943359375
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.5,1126.616943359375
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.55,1136.9122314453125
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.6,1167.9163818359375
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.65,1185.634033203125
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.7,1230.383056640625
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.75,1265.7607421875
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.8,1279.4326171875
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.85,1300.532958984375
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.9,1323.3026123046875
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.95,1380.1572265625
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.975,1527.41796875
2025-03-02,ARI incidence,2025-03-16,2,CZ,quantile,0.99,1553.2249755859375
2025-03-02,ARI incidence,2025-03-23,3,CZ,median,,1020.334716796875
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.01,550.4615478515625
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.025,641.3026733398438
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.05,713.6317138671875
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.1,782.4281616210938
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.15,869.1260375976562
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.2,895.65576171875
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.25,916.4712524414062
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.3,958.7132568359375
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.35,988.8438110351562
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.4,991.3512573242188
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.45,1019.1546020507812
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.5,1020.334716796875
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.55,1028.5283203125
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.6,1055.193359375
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.65,1071.6834716796875
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.7,1090.00537109375
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.75,1124.3692626953125
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.8,1153.868896484375
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.85,1176.523193359375
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.9,1210.1815185546875
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.95,1327.6766357421875
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.975,1452.5186767578125
2025-03-02,ARI incidence,2025-03-23,3,CZ,quantile,0.99,1464.3270263671875
2025-03-02,ARI incidence,2025-03-30,4,CZ,median,,949.1880493164062
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.01,531.2467041015625
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.025,608.3110961914062
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.05,679.6123657226562
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.1,769.9445190429688
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.15,819.546875
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.2,854.0853271484375
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.25,857.8140258789062
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.3,890.4921264648438
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.35,909.88671875
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.4,918.6931762695312
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.45,945.1475830078125
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.5,949.1880493164062
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.55,952.7979736328125
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.6,990.1593627929688
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.65,1012.21826171875
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.7,1027.3162841796875
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.75,1038.545654296875
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.8,1042.2493896484375
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.85,1078.662841796875
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.9,1149.42724609375
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.95,1230.179931640625
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.975,1351.606689453125
2025-03-02,ARI incidence,2025-03-30,4,CZ,quantile,0.99,1514.5545654296875
