origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-11-09,ILI incidence,2025-11-16,1,CZ,median,,17.65159797668457
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.01,1.490975260734558
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.025,3.2254927158355713
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.05,7.596958160400391
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.1,10.866025924682617
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.15,12.317869186401367
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.2,13.047268867492676
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.25,14.507844924926758
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.3,15.384571075439453
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.35,15.602822303771973
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.4,16.312681198120117
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.45,17.3720703125
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.5,17.65159797668457
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.55,18.094236373901367
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.6,18.947418212890625
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.65,19.253345489501953
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.7,19.904483795166016
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.75,21.666940689086914
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.8,22.18720245361328
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.85,24.358074188232422
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.9,26.316364288330078
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.95,28.981821060180664
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.975,31.56344985961914
2025-11-09,ILI incidence,2025-11-16,1,CZ,quantile,0.99,44.42058563232422
2025-11-09,ILI incidence,2025-11-23,2,CZ,median,,21.01190948486328
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.01,3.7686662673950195
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.025,6.462098598480225
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.05,9.822955131530762
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.1,13.416824340820312
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.15,14.875718116760254
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.2,15.248489379882812
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.25,15.74300479888916
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.3,17.70907974243164
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.35,18.8398494720459
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.4,19.882522583007812
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.45,20.279979705810547
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.5,21.01190948486328
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.55,22.158971786499023
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.6,23.439855575561523
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.65,27.56470489501953
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.7,28.542715072631836
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.75,30.453140258789062
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.8,33.84588623046875
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.85,37.59883117675781
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.9,41.90898132324219
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.95,47.496742248535156
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.975,54.51712417602539
2025-11-09,ILI incidence,2025-11-23,2,CZ,quantile,0.99,60.678070068359375
2025-11-09,ILI incidence,2025-11-30,3,CZ,median,,27.133499145507812
2025-11-09,ILI incidence,2025-11-30,3,CZ,quantile,0.01,6.344977855682373
2025-11-09,ILI incidence,2025-11-30,3,CZ,quantile,0.025,6.855116367340088
