origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-15,ARI incidence,2025-06-22,1,FR,median,,126.75678253173828
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.01,83.79965209960938
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.025,92.23774719238281
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.05,93.20057678222656
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.1,105.7590560913086
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.15,108.05302429199219
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.2,109.5152359008789
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.25,112.16686248779297
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.3,116.1301498413086
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.35,119.6176986694336
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.4,121.66187286376953
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.45,123.77454376220703
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.5,126.75678253173828
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.55,127.62533569335938
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.6,136.07115173339844
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.65,139.32626342773438
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.7,140.0191192626953
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.75,141.06649780273438
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.8,142.89517211914062
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.85,144.4773712158203
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.9,149.5186004638672
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.95,161.05116271972656
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.975,172.7989044189453
2025-06-15,ARI incidence,2025-06-22,1,FR,quantile,0.99,186.40228271484375
2025-06-15,ARI incidence,2025-06-29,2,FR,median,,117.10078430175781
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.01,71.665771484375
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.025,77.09144592285156
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.05,91.74124908447266
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.1,93.9970474243164
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.15,95.770263671875
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.2,100.91947174072266
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.25,106.9374771118164
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.3,110.69502258300781
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.35,112.84776306152344
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.4,114.67926025390625
2025-06-15,ARI incidence,2025-06-29,2,FR,quantile,0.45,114.91557312011719
