origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-08-10,ILI incidence,2025-08-17,1,FR,median,,32.33021926879883
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.01,2.70937442779541
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.025,11.837413787841797
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.05,14.394503593444824
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.1,15.564401626586914
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.15,17.101892471313477
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.2,20.846351623535156
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.25,23.864788055419922
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.3,24.8359375
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.35,26.048431396484375
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.4,29.79241371154785
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.45,30.58607292175293
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.5,32.33021926879883
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.55,35.01911544799805
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.6,35.843345642089844
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.65,37.324867248535156
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.7,38.4383430480957
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.75,39.274566650390625
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.8,41.979190826416016
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.85,44.54179763793945
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.9,47.43817138671875
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.95,53.84304428100586
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.975,56.03815460205078
2025-08-10,ILI incidence,2025-08-17,1,FR,quantile,0.99,62.61616516113281
2025-08-10,ILI incidence,2025-08-24,2,FR,median,,36.542015075683594
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.01,15.037259101867676
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.025,15.443747520446777
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.05,18.062326431274414
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.1,19.43943977355957
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.15,20.531749725341797
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.2,21.353845596313477
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.25,24.737689971923828
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.3,26.21956443786621
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.35,27.729238510131836
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.4,30.913328170776367
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.45,33.47112274169922
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.5,36.542015075683594
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.55,39.2888069152832
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.6,39.67916488647461
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.65,42.06389617919922
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.7,42.33863067626953
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.75,43.59103012084961
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.8,47.62791442871094
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.85,50.998775482177734
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.9,52.856346130371094
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.95,58.82709884643555
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.975,65.02606201171875
2025-08-10,ILI incidence,2025-08-24,2,FR,quantile,0.99,73.16128540039062
2025-08-10,ILI incidence,2025-08-31,3,FR,median,,35.79132843017578
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.01,14.624634742736816
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.025,15.57186508178711
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.05,16.193748474121094
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.1,21.56108283996582
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.15,23.2231502532959
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.2,24.489206314086914
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.25,25.25723648071289
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.3,25.746631622314453
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.35,28.472923278808594
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.4,31.59535789489746
2025-08-10,ILI incidence,2025-08-31,3,FR,quantile,0.45,35.157928466796875
