origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-26,ARI incidence,2025-02-02,1,IT,median,,714.8988037109375
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.01,714.8668823242188
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.025,714.8707885742188
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.05,714.8800659179688
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.1,714.8828735351562
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.15,714.891845703125
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.2,714.8943481445312
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.25,714.8961791992188
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.3,714.8963623046875
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.35,714.8966674804688
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.4,714.8976440429688
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.45,714.898193359375
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.5,714.8988037109375
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.55,714.8993530273438
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.6,714.9013061523438
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.65,714.9024658203125
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.7,714.903564453125
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.75,714.9058227539062
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.8,714.9080200195312
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.85,714.9130249023438
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.9,714.9133911132812
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.95,714.914306640625
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.975,714.9220581054688
2025-01-26,ARI incidence,2025-02-02,1,IT,quantile,0.99,714.951171875
2025-01-26,ARI incidence,2025-02-09,2,IT,median,,714.8977661132812
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.01,714.8772583007812
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.025,714.8822631835938
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.05,714.8865356445312
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.1,714.88818359375
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.15,714.8903198242188
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.2,714.8923950195312
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.25,714.8943481445312
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.3,714.8953247070312
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.35,714.896484375
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.4,714.8970336914062
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.45,714.8972778320312
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.5,714.8977661132812
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.55,714.898193359375
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.6,714.8987426757812
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.65,714.8997192382812
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.7,714.9026489257812
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.75,714.9055786132812
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.8,714.9057006835938
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.85,714.90625
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.9,714.9077758789062
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.95,714.9151611328125
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.975,714.9180297851562
2025-01-26,ARI incidence,2025-02-09,2,IT,quantile,0.99,714.9283447265625
2025-01-26,ARI incidence,2025-02-16,3,IT,median,,714.8978271484375
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.01,714.879638671875
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.025,714.8802490234375
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.05,714.882080078125
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.1,714.8848876953125
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.15,714.8870239257812
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.2,714.8893432617188
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.25,714.8919677734375
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.3,714.8942260742188
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.35,714.8956298828125
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.4,714.89697265625
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.45,714.8975219726562
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.5,714.8978271484375
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.55,714.8982543945312
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.6,714.898681640625
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.65,714.9010620117188
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.7,714.902099609375
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.75,714.9024658203125
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.8,714.9035034179688
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.85,714.9060668945312
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.9,714.9183959960938
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.95,714.9263305664062
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.975,714.929443359375
2025-01-26,ARI incidence,2025-02-16,3,IT,quantile,0.99,714.9840087890625
2025-01-26,ARI incidence,2025-02-23,4,IT,median,,714.9017333984375
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.01,714.8719482421875
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.025,714.874755859375
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.05,714.8817749023438
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.1,714.8865356445312
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.15,714.8882446289062
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.2,714.8900756835938
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.25,714.892333984375
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.3,714.8965454101562
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.35,714.8975219726562
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.4,714.8990478515625
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.45,714.9006958007812
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.5,714.9017333984375
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.55,714.9028930664062
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.6,714.9032592773438
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.65,714.9036254882812
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.7,714.9039306640625
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.75,714.9046630859375
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.8,714.9054565429688
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.85,714.9061889648438
2025-01-26,ARI incidence,2025-02-23,4,IT,quantile,0.9,714.9067993164062
