origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-04-06,ILI incidence,2025-04-13,1,IT,median,,603.916748046875
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.01,475.27880859375
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.025,483.793701171875
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.05,509.3716735839844
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.1,527.583984375
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.15,535.7388305664062
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.2,544.5228271484375
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.25,560.8011474609375
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.3,579.16552734375
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.35,591.9967651367188
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.4,596.369140625
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.45,603.8342895507812
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.5,603.916748046875
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.55,609.5300903320312
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.6,617.2510986328125
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.65,629.9843139648438
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.7,641.3370971679688
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.75,653.2822875976562
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.8,669.116455078125
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.85,670.9019775390625
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.9,698.9447631835938
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.95,737.16259765625
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.975,746.411865234375
2025-04-06,ILI incidence,2025-04-13,1,IT,quantile,0.99,883.8468627929688
2025-04-06,ILI incidence,2025-04-20,2,IT,median,,562.4666748046875
2025-04-06,ILI incidence,2025-04-20,2,IT,quantile,0.01,414.81842041015625
2025-04-06,ILI incidence,2025-04-20,2,IT,quantile,0.025,443.78900146484375
2025-04-06,ILI incidence,2025-04-20,2,IT,quantile,0.05,469.334716796875
