origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-06-15,ARI incidence,2025-06-22,1,PL,median,,0.0004893930745311081
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.01,-0.026428693905472755
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.025,-0.023982509970664978
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.05,-0.021309422329068184
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.1,-0.008896422572433949
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.15,-0.006687042769044638
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.2,-0.006405857391655445
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.25,-0.00607813335955143
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.3,-0.0033399639651179314
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.35,-0.0013947458937764168
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.4,-0.0011367934057489038
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.45,0.00012441404396668077
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.5,0.0004893930745311081
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.55,0.0025554185267537832
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.6,0.0036862476263195276
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.65,0.004047820810228586
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.7,0.005351345054805279
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.75,0.00878036580979824
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.8,0.009715916588902473
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.85,0.010338591411709785
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.9,0.011404663324356079
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.95,0.017680272459983826
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.975,0.0191368218511343
2025-06-15,ARI incidence,2025-06-22,1,PL,quantile,0.99,0.020634520798921585
2025-06-15,ARI incidence,2025-06-29,2,PL,median,,-0.00022857310250401497
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.01,-0.02579525299370289
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.025,-0.01843906380236149
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.05,-0.011985459364950657
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.1,-0.0101350462064147
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.15,-0.008810708299279213
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.2,-0.004923246335238218
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.25,-0.003057922935113311
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.3,-0.001933725201524794
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.35,-0.0016509233973920345
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.4,-0.0013717380352318287
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.45,-0.0007738408748991787
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.5,-0.00022857310250401497
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.55,6.408952322090045e-05
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.6,0.00016503907681908458
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.65,0.0004084108804818243
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.7,0.0012121872277930379
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.75,0.0025490287225693464
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.8,0.00306551530957222
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.85,0.0037496478762477636
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.9,0.004749131854623556
2025-06-15,ARI incidence,2025-06-29,2,PL,quantile,0.95,0.008599583990871906
