origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-11-23,ILI incidence,2025-11-30,1,PL,median,,292.069091796875
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.01,192.1793975830078
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.025,214.52940368652344
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.05,233.74380493164062
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.1,243.3758544921875
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.15,245.8799285888672
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.2,256.12835693359375
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.25,258.6705322265625
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.3,272.556640625
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.35,279.7135009765625
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.4,283.8003234863281
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.45,286.4481506347656
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.5,292.069091796875
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.55,294.8959045410156
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.6,304.22821044921875
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.65,313.08270263671875
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.7,317.1233215332031
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.75,320.08709716796875
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.8,332.2516174316406
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.85,345.07220458984375
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.9,361.9767150878906
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.95,401.3194274902344
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.975,436.7972106933594
2025-11-23,ILI incidence,2025-11-30,1,PL,quantile,0.99,454.7143859863281
2025-11-23,ILI incidence,2025-12-07,2,PL,median,,303.44439697265625
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.01,200.4816131591797
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.025,205.4496307373047
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.05,232.38525390625
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.1,247.00917053222656
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.15,257.2505187988281
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.2,261.3313293457031
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.25,274.3702392578125
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.3,276.4219970703125
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.35,283.05718994140625
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.4,287.224609375
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.45,294.763916015625
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.5,303.44439697265625
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.55,310.8480529785156
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.6,319.36834716796875
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.65,328.1400146484375
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.7,344.08404541015625
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.75,348.65625
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.8,361.2250061035156
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.85,372.9634704589844
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.9,391.2438049316406
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.95,438.8041687011719
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.975,455.23162841796875
2025-11-23,ILI incidence,2025-12-07,2,PL,quantile,0.99,537.91455078125
2025-11-23,ILI incidence,2025-12-14,3,PL,median,,325.26373291015625
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.01,179.80882263183594
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.025,217.17489624023438
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.05,226.52830505371094
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.1,249.0533905029297
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.15,260.6422119140625
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.2,274.0969543457031
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.25,281.56292724609375
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.3,289.5478210449219
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.35,298.50958251953125
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.4,307.7843017578125
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.45,315.0006103515625
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.5,325.26373291015625
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.55,325.6461181640625
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.6,329.629638671875
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.65,344.6932678222656
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.7,363.6845703125
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.75,375.0218811035156
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.8,387.36279296875
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.85,397.94989013671875
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.9,412.66558837890625
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.95,431.7792053222656
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.975,485.5739440917969
2025-11-23,ILI incidence,2025-12-14,3,PL,quantile,0.99,526.6356201171875
2025-11-23,ILI incidence,2025-12-21,4,PL,median,,347.3080139160156
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.01,215.88844299316406
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.025,223.27528381347656
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.05,238.04090881347656
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.1,256.89263916015625
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.15,273.8606872558594
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.2,280.3523254394531
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.25,299.59149169921875
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.3,304.97509765625
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.35,309.9981994628906
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.4,327.11773681640625
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.45,337.0143127441406
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.5,347.3080139160156
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.55,359.5760498046875
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.6,367.0815734863281
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.65,381.96875
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.7,389.2025146484375
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.75,405.5906677246094
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.8,411.291259765625
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.85,441.5498352050781
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.9,464.2216796875
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.95,512.6519165039062
2025-11-23,ILI incidence,2025-12-21,4,PL,quantile,0.975,597.2769775390625
