origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-09-21,ARI incidence,2025-09-28,1,ES,median,,374.3154296875
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.01,244.58584594726562
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.025,254.8377227783203
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.05,265.4159240722656
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.1,299.634033203125
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.15,309.18560791015625
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.2,313.6414794921875
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.25,329.9996643066406
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.3,332.0438232421875
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.35,346.082763671875
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.4,356.69403076171875
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.45,364.16632080078125
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.5,374.3154296875
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.55,388.9332580566406
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.6,398.75579833984375
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.65,399.2422180175781
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.7,399.83489990234375
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.75,407.73004150390625
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.8,423.6304626464844
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.85,447.5491943359375
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.9,471.00360107421875
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.95,506.57672119140625
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.975,532.7588500976562
2025-09-21,ARI incidence,2025-09-28,1,ES,quantile,0.99,536.3508911132812
