origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-11-02,ILI incidence,2025-11-09,1,ES,median,,14.260774612426758
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.01,6.355472564697266
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.025,6.816457748413086
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.05,6.983880519866943
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.1,8.827370643615723
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.15,10.39140796661377
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.2,11.348587989807129
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.25,11.648351669311523
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.3,11.711142539978027
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.35,12.433743476867676
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.4,13.109307289123535
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.45,13.922896385192871
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.5,14.260774612426758
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.55,15.197542190551758
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.6,15.781939506530762
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.65,16.089067459106445
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.7,16.306472778320312
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.75,16.616724014282227
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.8,16.84994125366211
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.85,17.015642166137695
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.9,18.0183048248291
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.95,19.687707901000977
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.975,20.198820114135742
2025-11-02,ILI incidence,2025-11-09,1,ES,quantile,0.99,26.748960494995117
2025-11-02,ILI incidence,2025-11-16,2,ES,median,,16.152809143066406
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.01,4.357146739959717
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.025,8.179964065551758
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.05,9.155315399169922
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.1,9.415538787841797
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.15,11.520614624023438
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.2,12.326359748840332
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.25,12.649677276611328
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.3,15.242440223693848
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.35,15.565980911254883
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.4,15.827488899230957
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.45,16.09004020690918
2025-11-02,ILI incidence,2025-11-16,2,ES,quantile,0.5,16.152809143066406
