Country,Target,Model,Forecast_Date,Backtest_Round,Offset_Weeks,Train_Weeks,WIS
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-12-07,1,0,233,487.8277
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-11-30,2,1,232,488.2851
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-11-23,3,2,231,193.4117
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-11-16,4,3,230,419.4372
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-11-09,5,4,229,1291.3465
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-11-02,6,5,228,969.8785
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-10-26,7,6,227,1139.6705
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-10-19,8,7,226,609.7745
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-10-12,9,8,225,315.8232
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-10-05,10,9,224,305.1355
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-09-28,11,10,223,383.7383
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-09-21,12,11,222,222.4584
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-09-14,13,12,221,348.5377
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-09-07,14,13,220,717.9977
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-08-31,15,14,219,222.5224
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-08-24,16,15,218,232.8643
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-08-17,17,16,217,544.096
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-08-10,18,17,216,164.0999
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-08-03,19,18,215,247.1719
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-07-27,20,19,214,464.5695
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-07-20,21,20,213,518.7523
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-07-13,22,21,212,257.405
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-07-06,23,22,211,202.2728
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-06-29,24,23,210,81.4626
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-06-22,25,24,209,85.2948
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-06-15,26,25,208,120.8934
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-06-08,27,26,207,294.605
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-06-01,28,27,206,140.8392
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-05-25,29,28,205,245.2745
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-05-18,30,29,204,171.302
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-05-11,31,30,203,151.3712
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-05-04,32,31,202,146.7424
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-04-27,33,32,201,158.1613
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-04-20,34,33,200,421.5613
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-04-13,35,34,199,357.2452
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-04-06,36,35,198,519.5054
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-03-30,37,36,197,364.9086
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-03-23,38,37,196,445.9846
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-03-16,39,38,195,257.8059
Belgium,ARI incidence,Darts-TRANSFORMER(QuantileRegression)+Weather,2025-03-09,40,39,194,547.8221
